Image,Plot,Date_Index,Date,Variety,Cover,Green_Avg,EXG_Avg_Image,EXGR_Avg_Image,GLI_Avg_Image,VARI_Avg_Image,EXG_Local_Thresh,EXGR_Local_Thresh,GLI_Local_Thresh,VARI_Local_Thresh,EXG_Global_Thresh,EXGR_Global_Thresh,GLI_Global_Thresh,VARI_Global_Thresh,Vegetation_Fraction,Green_Avg_Vegetation,EXG_Avg_Vegetation,EXGR_Avg_Vegetation
104B_20210708,104B,20210708,7/8/2021,Oat,Post,0.348470671,0.045413219,-0.182090237,0.030445683,-0.10337828,-0.255859375,-0.765234375,-0.27734375,-0.19140625,0.306640625,0.205078125,0.16015625,-0.08984375,0.09300735889819066,0.4127380715291518,0.23821421458745592,0.11908020155183935
104C_20210708,104C,20210708,7/8/2021,Oat,Under,0.341900378,0.025705352,-0.206816987,0.016010668,-0.116649138,-0.267578125,-0.786328125,-0.30078125,-0.234375,0.306640625,0.205078125,0.16015625,-0.08984375,0.06696609409359207,0.4101663135709638,0.23049894071289145,0.11807867343879443
105A_20210708,105A,20210708,7/8/2021,Oat,Fallow,0.361759141,0.085290082,-0.112145117,0.058345015,-0.056914212,0.142578125,-0.701953125,-0.26171875,-0.140625,0.306640625,0.205078125,0.16015625,-0.08984375,0.238288935612052,0.4154962118105628,0.2464886354316878,0.15433599735451684
105B_20210708,105B,20210708,7/8/2021,Oat,Post,0.360572795,0.081728031,-0.112786074,0.055695624,-0.054900245,0.119140625,-0.701953125,-0.26171875,-0.099609375,0.306640625,0.205078125,0.16015625,-0.08984375,0.25143766154855135,0.4120695518060322,0.23620865541809719,0.14782903078348475
105C_20210708,105C,20210708,7/8/2021,Oat,Under,0.355306654,0.065937444,-0.086587271,0.045895357,-0.008137543,0.587890625,-0.048046875,0.06640625,-0.076171875,0.306640625,0.205078125,0.16015625,-0.08984375,0.24473580783920373,0.39666362677378486,0.18999088032135425,0.12127080003548873
106A_20210708,106A,20210708,7/8/2021,Soy,Fallow,0.369274758,0.107839345,-0.016533574,0.072430653,0.024557853,0.212890625,0.120703125,0.13671875,-0.0546875,0.306640625,0.205078125,0.16015625,-0.08984375,0.3038909089155511,0.445112745267862,0.3353382358035858,0.3232994933882324
106B_20210708,106B,20210708,7/8/2021,Soy,Post,0.389188092,0.167584167,0.071422441,0.112960733,0.073930591,0.236328125,0.162890625,0.15234375,0.01171875,0.306640625,0.205078125,0.16015625,-0.08984375,0.4654852725589291,0.4474342986882604,0.34230289606478054,0.3351072510905632
106C_20210708,106C,20210708,7/8/2021,Soy,Under,0.382034319,0.146110792,0.04452679,0.099118773,0.064028234,0.212890625,0.141796875,0.13671875,0.044921875,0.306640625,0.205078125,0.16015625,-0.08984375,0.41399408298290963,0.44344324460628476,0.33032973381885444,0.32351746657886826
107A_20210708,107A,20210708,7/8/2021,Oat,Fallow,0.348954316,0.046866565,-0.17398936,0.031917256,-0.09638329,-0.244140625,-0.744140625,-0.27734375,-0.2109375,0.306640625,0.205078125,0.16015625,-0.08984375,0.08774256394429228,0.41031063443314375,0.23093190329943147,0.11455121666018057
107B_20210708,107B,20210708,7/8/2021,Oat,Post,0.355084133,0.065254812,-0.145276989,0.045705871,-0.08054608,0.107421875,-0.659765625,-0.24609375,-0.150634766,0.306640625,0.205078125,0.16015625,-0.08984375,0.10556655318081865,0.4129834786832489,0.2389504360497463,0.12081977538168383
107C_20210708,107C,20210708,7/8/2021,Oat,Under,0.348862479,0.046597685,-0.181219099,0.030676632,-0.101001067,-0.279296875,-0.828515625,-0.30859375,-0.275390625,0.306640625,0.205078125,0.16015625,-0.08984375,0.09010671849079896,0.41464109279633654,0.2439232783890087,0.13490719022184178
108A_20210708,108A,20210708,7/8/2021,Oat,Fallow,0.341780068,0.025346233,-0.237573279,0.015177461,-0.142987196,-0.255859375,-0.765234375,-0.27734375,-0.255859375,0.306640625,0.205078125,0.16015625,-0.08984375,0.043196153697774006,0.4233855927511547,0.2701567782534647,0.15088584185668943
108B_20210708,108B,20210708,7/8/2021,Oat,Post,0.340081962,0.020251311,-0.255552602,0.010310415,-0.153210438,-0.267578125,-0.807421875,-0.28515625,-0.32421875,0.306640625,0.205078125,0.16015625,-0.08984375,0.049984809613826627,0.42084811099923997,0.26254433299771884,0.1295566651113884
108C_20210708,108C,20210708,7/8/2021,Oat,Under,0.341016057,0.023059021,-0.219748624,0.012659464,-0.122085803,-0.267578125,-0.807421875,-0.30078125,-0.283203125,0.306640625,0.205078125,0.16015625,-0.08984375,0.06334149917055669,0.41881863824231996,0.2564559147269602,0.14870292167700805
109A_20210708,109A,20210708,7/8/2021,Oat,Fallow,0.34906029,0.047193527,-0.183227174,0.029160992,-0.101005888,-0.267578125,-0.807421875,-0.30078125,-0.255859375,0.306640625,0.205078125,0.16015625,-0.08984375,0.17136985938042515,0.4156118900162109,0.2468356700486328,0.1507503789859929
109B_20210708,109B,20210708,7/8/2021,Oat,Post,0.349164782,0.047506403,-0.177181325,0.030359068,-0.096332057,-0.255859375,-0.765234375,-0.28515625,-0.19140625,0.306640625,0.205078125,0.16015625,-0.08984375,0.1478591200185178,0.4163960280441381,0.24918808413241497,0.14976248366060613
109C_20210708,109C,20210708,7/8/2021,Oat,Under,0.349606123,0.048843084,-0.169542915,0.029973628,-0.08640686,-0.267578125,-0.807421875,-0.30859375,-0.306640625,0.306640625,0.205078125,0.16015625,-0.08984375,0.1883222097912889,0.413909852960527,0.24172955888158099,0.15528854352617655
110A_20210708,110A,20210708,7/8/2021,Oat,Fallow,0.333738294,0.001220307,-0.279813567,-0.003729842,-0.167252657,-0.291015625,-0.849609375,-0.30859375,-0.462890625,0.306640625,0.205078125,0.16015625,-0.08984375,0.0308340727595386,0.42144773601108465,0.2643432080332548,0.13930833854437083
110B_20210708,110B,20210708,7/8/2021,Oat,Post,0.339202552,0.017623932,-0.228082877,0.009476614,-0.130396947,-0.291015625,-0.828515625,-0.31640625,-0.251953125,0.306640625,0.205078125,0.16015625,-0.08984375,0.035479196404459706,0.42143821868702613,0.2643146560610789,0.15151463175090277
110C_20210708,110C,20210708,7/8/2021,Oat,Under,0.33579009,0.007384135,-0.253403038,0.00016834,-0.145485832,-0.302734375,-0.870703125,-0.32421875,-0.271484375,0.306640625,0.205078125,0.16015625,-0.08984375,0.06190745438061803,0.41297029866025153,0.23891089598075463,0.126938882383483
201A_20210708,201A,20210708,7/8/2021,Oat,Under,0.347639019,0.042920675,-0.152733167,0.030366235,-0.075635176,0.072265625,-0.701953125,-0.29296875,-0.1328125,0.306640625,0.205078125,0.16015625,-0.08984375,0.07223028625438833,0.4017352006525829,0.2052056019577489,0.09331995044153486
201B_20210708,201B,20210708,7/8/2021,Oat,Fallow,0.345770526,0.037318812,-0.160510874,0.025261306,-0.075168426,-0.279296875,-0.786328125,-0.30859375,-0.17578125,0.306640625,0.205078125,0.16015625,-0.08984375,0.10728089676324216,0.3978089126899227,0.19342673806976832,0.09231560179503276
201C_20210708,201C,20210708,7/8/2021,Oat,Post,0.348451849,0.045356753,-0.143877707,0.03168353,-0.064822729,0.072265625,-0.744140625,-0.30078125,-0.173828125,0.306640625,0.205078125,0.16015625,-0.08984375,0.10576065255970063,0.399119597103293,0.19735879130987866,0.09636315507600347
202A_20210708,202A,20210708,7/8/2021,Oat,Under,0.364975225,0.094929896,-0.086551568,0.067034161,-0.040931675,0.130859375,-0.069140625,0.08984375,-0.072265625,0.306640625,0.205078125,0.16015625,-0.08984375,0.2644103718992323,0.4086255646788388,0.225876694036518,0.12817952877709027
202B_20210708,202B,20210708,7/8/2021,Oat,Fallow,0.35361603,0.060851706,-0.131858798,0.042331414,-0.0644182,0.095703125,-0.723046875,0.05859375,-0.104492188,0.306640625,0.205078125,0.16015625,-0.08984375,0.19462260329462597,0.4028588141848102,0.208576442554431,0.11186658126227615
202C_20210708,202C,20210708,7/8/2021,Oat,Post,0.36468844,0.094071347,-0.07891421,0.065157886,-0.028706629,0.142578125,-0.638671875,0.08984375,-0.08203125,0.306640625,0.205078125,0.16015625,-0.08984375,0.28604160236873577,0.4125773530703353,0.2377320592110055,0.15502496381532158
203A_20210708,203A,20210708,7/8/2021,Soy,Under,0.40380577,0.211426954,0.10950014,0.141858495,0.069399945,0.271484375,0.183984375,0.16796875,0.068359375,0.306640625,0.205078125,0.16015625,-0.08984375,0.5265277188380078,0.45723646563263226,0.3717093968978963,0.3582386247313488
203B_20210708,203B,20210708,7/8/2021,Soy,Fallow,0.390681998,0.172066489,0.065059868,0.116017576,0.059691861,0.271484375,0.183984375,0.16796875,-0.025390625,0.306640625,0.205078125,0.16015625,-0.08984375,0.4558821756490876,0.4470764234888838,0.3412292704666508,0.32446521564021324
203C_20210708,203C,20210708,7/8/2021,Soy,Post,0.395364859,0.186104824,0.085714172,0.12518687,0.068254843,0.248046875,0.162890625,0.15234375,0.03515625,0.306640625,0.205078125,0.16015625,-0.08984375,0.4936345048416342,0.45256471398511755,0.3576941419553523,0.3471351780329274
204A_20210708,204A,20210708,7/8/2021,Oat,Under,0.351262947,0.053793665,-0.148687246,0.037462759,-0.077008247,0.083984375,-0.723046875,-0.28515625,-0.16015625,0.306640625,0.205078125,0.16015625,-0.08984375,0.10169601867211914,0.4078261970813986,0.22347859124419628,0.11491117894844378
204B_20210708,204B,20210708,7/8/2021,Oat,Fallow,0.34972904,0.049196763,-0.124637052,0.034235083,-0.045079791,0.083984375,-0.744140625,-0.30859375,-0.134765625,0.306640625,0.205078125,0.16015625,-0.08984375,0.1278843649936345,0.40139193356370884,0.20417580069112629,0.11518331232077121
204C_20210708,204C,20210708,7/8/2021,Oat,Post,0.353475627,0.060443759,-0.109187135,0.041112547,-0.032697617,0.107421875,-0.765234375,-0.30859375,-0.1640625,0.306640625,0.205078125,0.16015625,-0.08984375,0.1989325739747695,0.40456857697076426,0.2137057309122928,0.13447508795499147
205A_20210708,205A,20210708,7/8/2021,Oat,Under,0.347692156,0.043085509,-0.195756624,0.027483493,-0.111495927,-0.279296875,-0.828515625,-0.30859375,-0.314453125,0.306640625,0.205078125,0.16015625,-0.08984375,0.09173305428031325,0.41556633557761546,0.2466990067328464,0.13132534265147117
205B_20210708,205B,20210708,7/8/2021,Oat,Fallow,0.348983952,0.046965721,-0.183296373,0.030255941,-0.102767398,-0.279296875,-0.828515625,-0.30859375,-0.314453125,0.306640625,0.205078125,0.16015625,-0.08984375,0.11206164885613981,0.41580599120802425,0.24741797362407206,0.13070969256785497
205C_20210708,205C,20210708,7/8/2021,Oat,Post,0.349504206,0.048530098,-0.188725931,0.030319683,-0.106320431,-0.279296875,-0.849609375,-0.30859375,-0.3515625,0.306640625,0.205078125,0.16015625,-0.08984375,0.1321509345704255,0.4152883381746361,0.24586501452390863,0.1278078068060611
206A_20210708,206A,20210708,7/8/2021,Oat,Under,0.342778531,0.028348251,-0.180474797,0.018292585,-0.092383568,-0.279296875,-0.807421875,-0.31640625,-0.18359375,0.306640625,0.205078125,0.16015625,-0.08984375,0.07336414007947224,0.4026147381767922,0.20784421453037621,0.10466259437926562
206B_20210708,206B,20210708,7/8/2021,Oat,Fallow,0.356986513,0.070981239,-0.123356166,0.047203264,-0.060136881,0.142578125,-0.786328125,-0.30078125,-0.166015625,0.306640625,0.205078125,0.16015625,-0.08984375,0.21299633984028393,0.4191840905386579,0.2575522716159732,0.17205191250114743
206C_20210708,206C,20210708,7/8/2021,Oat,Post,0.347973247,0.043946866,-0.157572511,0.028117702,-0.074590656,-0.279296875,-0.828515625,-0.31640625,-0.23046875,0.306640625,0.205078125,0.16015625,-0.08984375,0.1462490596427607,0.4080761897152458,0.22422856914573724,0.1280612186578893
207A_20210708,207A,20210708,7/8/2021,Oat,Under,0.34759569,0.042790687,-0.166080742,0.029045586,-0.087633482,-0.267578125,-0.786328125,-0.30859375,-0.1484375,0.306640625,0.205078125,0.16015625,-0.08984375,0.12626707110065197,0.4022835990197097,0.20685079705912882,0.10799046382781283
207B_20210708,207B,20210708,7/8/2021,Oat,Fallow,0.357232009,0.071705068,-0.108814433,0.049277402,-0.043658472,0.119140625,-0.744140625,-0.29296875,-0.078125,0.306640625,0.205078125,0.16015625,-0.08984375,0.22199905482041588,0.40805844007100184,0.2241753202130063,0.1414405051053132
207C_20210708,207C,20210708,7/8/2021,Oat,Post,0.368676896,0.106045756,-0.069608494,0.07190719,-0.027946146,0.177734375,-0.680859375,0.10546875,-0.109375,0.306640625,0.205078125,0.16015625,-0.08984375,0.31636932892249525,0.4220288069520292,0.26608642085608786,0.19204395151603185
208A_20210708,208A,20210708,7/8/2021,Oat,Under,0.355826848,0.067502244,-0.156147303,0.043426088,-0.086215938,-0.255859375,-0.786328125,-0.29296875,-0.296875,0.306640625,0.205078125,0.16015625,-0.08984375,0.19711696115119015,0.42263583458011,0.2679075037403299,0.1672900513272742
208B_20210708,208B,20210708,7/8/2021,Oat,Fallow,0.353835709,0.06152943,-0.138034561,0.040054483,-0.065194459,0.154296875,-0.744140625,-0.29296875,-0.259765625,0.306640625,0.205078125,0.16015625,-0.08984375,0.18146182149608425,0.4200657833435634,0.2601973500306906,0.17533756766822425
208C_20210708,208C,20210708,7/8/2021,Oat,Post,0.358087119,0.074303554,-0.104431244,0.048320567,-0.036487721,0.224609375,-0.744140625,-0.29296875,-0.115234375,0.306640625,0.205078125,0.16015625,-0.08984375,0.23882301030052852,0.42184766922020056,0.26554300766060074,0.2032094605842547
209A_20210708,209A,20210708,7/8/2021,Oat,Under,0.349224884,0.047687913,-0.195109341,0.029754684,-0.111680576,-0.255859375,-0.786328125,-0.29296875,-0.236328125,0.306640625,0.205078125,0.16015625,-0.08984375,0.13084588750434012,0.4200556304178022,0.26016689125340714,0.1527026374373198
209B_20210708,209B,20210708,7/8/2021,Oat,Fallow,0.352105739,0.056344342,-0.159827556,0.035585526,-0.082482098,-0.267578125,-0.807421875,-0.30859375,-0.26953125,0.306640625,0.205078125,0.16015625,-0.08984375,0.19247605705798387,0.4153622609935527,0.24608678298065761,0.15207981048660563
209C_20210708,209C,20210708,7/8/2021,Oat,Post,0.347569849,0.042720999,-0.198996588,0.026048382,-0.114117131,-0.255859375,-0.786328125,-0.29296875,-0.23828125,0.306640625,0.205078125,0.16015625,-0.08984375,0.13243304174221673,0.418577353348718,0.2557320600461544,0.14394385300705667
210A_20210708,210A,20210708,7/8/2021,Oat,Under,0.352836114,0.058556564,-0.100355738,0.039905493,-0.020120725,0.646484375,0.943359375,0.05859375,-0.0703125,0.306640625,0.205078125,0.16015625,-0.08984375,0.22567729832953975,0.4008325004833415,0.20249750145002415,0.1378337325364603
210B_20210708,210B,20210708,7/8/2021,Oat,Fallow,0.370667235,0.112026419,-0.037730145,0.076182094,0.006299488,0.189453125,0.015234375,0.10546875,-0.017578125,0.306640625,0.205078125,0.16015625,-0.08984375,0.37259244435014083,0.41741783454561365,0.2522535036368411,0.19056786250263102
210C_20210708,210C,20210708,7/8/2021,Oat,Post,0.360276786,0.0808828,-0.033837841,0.055602867,0.059418858,0.740234375,1.048828125,0.08203125,0.0234375,0.306640625,0.205078125,0.16015625,-0.08984375,0.3610549843756028,0.3967341750618964,0.19020252518568886,0.15368214132698874
301A_20210708,301A,20210708,7/8/2021,Oat,Post,0.342534599,0.027612235,-0.218357685,0.016743633,-0.126677169,-0.279296875,-0.828515625,-0.30859375,-0.287109375,0.306640625,0.205078125,0.16015625,-0.08984375,0.06470622275375179,0.4159299324194209,0.24778979725826222,0.13148475549748218
301B_20210708,301B,20210708,7/8/2021,Oat,Fallow,0.341650829,0.02495972,-0.224689479,0.014510504,-0.130399761,-0.291015625,-0.849609375,-0.31640625,-0.33984375,0.306640625,0.205078125,0.16015625,-0.08984375,0.06330593437753174,0.4146861805723665,0.24405854171709845,0.1228192811197048
301C_20210708,301C,20210708,7/8/2021,Oat,Under,0.350256449,0.050773566,-0.183373386,0.03413315,-0.106774571,-0.244140625,-0.744140625,-0.27734375,-0.197265625,0.306640625,0.205078125,0.16015625,-0.08984375,0.09007296207708036,0.4168490533050509,0.2505471599151528,0.13533755046533139
302A_20210708,302A,20210708,7/8/2021,Oat,Post,0.349476947,0.048436868,-0.185602092,0.031384739,-0.107054162,-0.267578125,-0.807421875,-0.30859375,-0.171875,0.306640625,0.205078125,0.16015625,-0.08984375,0.13605643107904788,0.4152873896129631,0.2458621688388892,0.1386504136787734
302B_20210708,302B,20210708,7/8/2021,Oat,Fallow,0.351382804,0.054153235,-0.174052343,0.035396047,-0.098540978,-0.244140625,-0.744140625,-0.27734375,-0.240234375,0.306640625,0.205078125,0.16015625,-0.08984375,0.15335177076501677,0.4170748473431098,0.2512245420293293,0.1485141208322642
302C_20210708,302C,20210708,7/8/2021,Oat,Under,0.353312932,0.059946028,-0.160117577,0.040358766,-0.089390921,0.107421875,-0.723046875,-0.26953125,-0.16015625,0.306640625,0.205078125,0.16015625,-0.08984375,0.1477216831912349,0.41618794095604594,0.2485638228681372,0.1441068809381809
303A_20210708,303A,20210708,7/8/2021,Soy,Post,0.369941676,0.109862402,-0.040067721,0.071306068,-0.001237339,0.224609375,0.120703125,0.13671875,-0.0703125,0.306640625,0.205078125,0.16015625,-0.08984375,0.2956374657613518,0.4540852985679593,0.3622558957038776,0.35216242117972957
303B_20210708,303B,20210708,7/8/2021,Soy,Fallow,0.400652652,0.20199533,0.087913961,0.13303198,0.050915044,0.259765625,0.162890625,0.16015625,0.0390625,0.306640625,0.205078125,0.16015625,-0.08984375,0.46645396107403264,0.4715786058595757,0.4147358175787274,0.4132374192847722
303C_20210708,303C,20210708,7/8/2021,Soy,Under,0.395194712,0.185602221,0.094085982,0.124096585,0.084435742,0.248046875,0.162890625,0.15234375,-0.146484375,0.306640625,0.205078125,0.16015625,-0.08984375,0.4900858618494657,0.4530681740670027,0.35920452220100807,0.3654124067947185
304A_20210708,304A,20210708,7/8/2021,Oat,Post,0.349188587,0.047568172,-0.155967268,0.03295728,-0.079223901,-0.255859375,-0.744140625,-0.28515625,-0.140625,0.306640625,0.205078125,0.16015625,-0.08984375,0.08981014428455693,0.4072970786783365,0.2218912360350098,0.11518724730538311
304B_20210708,304B,20210708,7/8/2021,Oat,Fallow,0.348180482,0.04454446,-0.166597304,0.030582752,-0.08937029,-0.267578125,-0.765234375,-0.29296875,-0.193359375,0.306640625,0.205078125,0.16015625,-0.08984375,0.09155583310829057,0.4046333805318725,0.21390014159561774,0.10176143857494331
304C_20210708,304C,20210708,7/8/2021,Oat,Under,0.358268437,0.074806516,-0.150098377,0.052527982,-0.093242448,0.107421875,-0.659765625,-0.24609375,-0.140625,0.306640625,0.205078125,0.16015625,-0.08984375,0.12068520697503954,0.41428206562148634,0.24284619686445905,0.11084311171619081
305A_20210708,305A,20210708,7/8/2021,Oat,Post,0.356371827,0.069124524,-0.145149189,0.047523655,-0.080986541,-0.255859375,-0.765234375,-0.28515625,-0.205078125,0.306640625,0.205078125,0.16015625,-0.08984375,0.14490362543883337,0.41329467847592005,0.2398840354277611,0.1279051938405268
305B_20210708,305B,20210708,7/8/2021,Oat,Fallow,0.354223003,0.062671421,-0.145281598,0.042839394,-0.077443218,0.119140625,-0.701953125,-0.27734375,-0.166015625,0.306640625,0.205078125,0.16015625,-0.08984375,0.1562096128621581,0.4138656609095404,0.2415969827286211,0.13941523952122514
305C_20210708,305C,20210708,7/8/2021,Oat,Under,0.359080943,0.077250063,-0.118231805,0.052615382,-0.058019933,0.130859375,-0.701953125,-0.26171875,-0.115234375,0.306640625,0.205078125,0.16015625,-0.08984375,0.22197132633771846,0.41376707779282534,0.24130123337847573,0.15198492781008197
306A_20210708,306A,20210708,7/8/2021,Oat,Post,0.347471497,0.042418712,-0.145878004,0.029251452,-0.064401167,0.072265625,-0.744140625,-0.30078125,-0.12109375,0.306640625,0.205078125,0.16015625,-0.08984375,0.11777974422283091,0.3986877300459468,0.19606319013784085,0.09943068501069142
306B_20210708,306B,20210708,7/8/2021,Oat,Fallow,0.352462869,0.057395839,-0.119891386,0.039205718,-0.045256525,0.083984375,-0.765234375,-0.30078125,-0.111328125,0.306640625,0.205078125,0.16015625,-0.08984375,0.21226454901431271,0.40210154973238865,0.20630464919716632,0.12231838765069447
306C_20210708,306C,20210708,7/8/2021,Oat,Under,0.362831591,0.088498993,-0.104748311,0.061733027,-0.056808145,0.142578125,-0.069140625,0.08984375,-0.100585938,0.306640625,0.205078125,0.16015625,-0.08984375,0.22323598626596197,0.4150958605399845,0.24528758161995337,0.14684092871773158
307A_20210708,307A,20210708,7/8/2021,Oat,Post,0.355220618,0.065676924,-0.123868271,0.044287301,-0.055358831,0.119140625,-0.744140625,-0.29296875,-0.11328125,0.306640625,0.205078125,0.16015625,-0.08984375,0.1916315439219166,0.413071499674103,0.23921449902230896,0.1502607351431639
307B_20210708,307B,20210708,7/8/2021,Oat,Fallow,0.348237111,0.044738459,-0.158156549,0.029166516,-0.074463589,-0.279296875,-0.828515625,-0.31640625,-0.255859375,0.306640625,0.205078125,0.16015625,-0.08984375,0.12751304444272984,0.4082709995747273,0.22481299872418128,0.12683800841622245
307C_20210708,307C,20210708,7/8/2021,Oat,Under,0.354921842,0.064772157,-0.128880987,0.043448636,-0.060840018,0.119140625,-0.744140625,-0.28515625,-0.21484375,0.306640625,0.205078125,0.16015625,-0.08984375,0.2010857509355349,0.41421309337734147,0.24263928013202415,0.15338924223165842
308A_20210708,308A,20210708,7/8/2021,Oat,Post,0.348135672,0.044420277,-0.19682454,0.028219221,-0.114163824,-0.267578125,-0.807421875,-0.30078125,-0.2734375,0.306640625,0.205078125,0.16015625,-0.08984375,0.10967880772346746,0.41665969088179017,0.24997907264536945,0.13357654844630817
308B_20210708,308B,20210708,7/8/2021,Oat,Fallow,0.345893127,0.03770952,-0.177713459,0.022844092,-0.087796472,-0.267578125,-0.786328125,-0.30078125,-0.26953125,0.306640625,0.205078125,0.16015625,-0.08984375,0.12980064426526755,0.41583709223348503,0.24751127670045514,0.16415226598176844
308C_20210708,308C,20210708,7/8/2021,Oat,Under,0.358853603,0.076589744,-0.129538908,0.050047664,-0.066614933,-0.267578125,-0.786328125,-0.30078125,-0.228515625,0.306640625,0.205078125,0.16015625,-0.08984375,0.2430082028085336,0.4185495470183357,0.25564864105500723,0.16281085099274642
309A_20210708,309A,20210708,7/8/2021,Oat,Post,0.357435074,0.072316675,-0.132954948,0.047465349,-0.067799689,0.130859375,-0.723046875,-0.26953125,-0.185546875,0.306640625,0.205078125,0.16015625,-0.08984375,0.237829004475136,0.4190436649526351,0.2571309948579053,0.17410257272486007
309B_20210708,309B,20210708,7/8/2021,Oat,Fallow,0.346666761,0.040009929,-0.203550652,0.024311032,-0.116500292,-0.267578125,-0.807421875,-0.30078125,-0.271484375,0.306640625,0.205078125,0.16015625,-0.08984375,0.14824551039697542,0.4136216282842292,0.24086488485268695,0.13677099325195533
309C_20210708,309C,20210708,7/8/2021,Oat,Under,0.355875816,0.067637695,-0.162777079,0.043478795,-0.094184454,-0.244140625,-0.786328125,-0.28515625,-0.296875,0.306640625,0.205078125,0.16015625,-0.08984375,0.23784467709579105,0.41772728125423086,0.2531818437626935,0.153270857451578
310A_20210708,310A,20210708,7/8/2021,Oat,Post,0.362854343,0.088587743,-0.095498295,0.058594752,-0.038350143,0.166015625,-0.701953125,-0.26171875,-0.193359375,0.306640625,0.205078125,0.16015625,-0.08984375,0.290074288221905,0.42062958227389796,0.2618887468216933,0.19192502384731852
310B_20210708,310B,20210708,7/8/2021,Oat,Fallow,0.360511437,0.081552998,-0.118579757,0.054265385,-0.06050425,0.142578125,-0.680859375,-0.26171875,-0.1640625,0.306640625,0.205078125,0.16015625,-0.08984375,0.2546511515759423,0.42071008106535907,0.2621302431960765,0.17653507538233845
310C_20210708,310C,20210708,7/8/2021,Oat,Under,0.371395562,0.114214414,-0.05358963,0.076372939,-0.014374682,0.201171875,-0.638671875,0.11328125,-0.162109375,0.306640625,0.205078125,0.16015625,-0.08984375,0.36072465375564217,0.42590159272510614,0.27770477817531836,0.21857703631845254
401A_20210708,401A,20210708,7/8/2021,Oat,Under,0.349167717,0.047507369,-0.149465088,0.033196105,-0.074023841,0.072265625,-0.786328125,-0.30859375,-0.15625,0.306640625,0.205078125,0.16015625,-0.08984375,0.10229941456733922,0.40080557039924053,0.20241671119772175,0.0952674651030088
