Image,Plot,Date_Index,Date,Variety,Cover,Mean_Green,EXG_Mean_Image,EXGR_Mean_Image,GLI_Mean_Image,VARI_Mean_Image,EXG_Local_Thresh,EXGR_Local_Thresh,GLI_Local_Thresh,VARI_Local_Thresh
104B_20210708,104B,20210708,7/8/2021,Oat,Post,119.8072997,0.045413219,-0.182090237,0.030445683,-0.10337828,-0.255859375,-0.7652343749999998,-0.27734375,-0.19140625
104C_20210708,104C,20210708,7/8/2021,Oat,Under,117.6757395,0.025705352,-0.206816987,0.016010668,-0.116649138,-0.267578125,-0.7863281249999998,-0.30078125,-0.234375
105A_20210708,105A,20210708,7/8/2021,Oat,Fallow,117.613131,0.085290082,-0.112145117,0.058345015,-0.056914212,0.142578125,-0.7019531249999998,-0.26171875,-0.140625
105B_20210708,105B,20210708,7/8/2021,Oat,Post,120.6532704,0.081728031,-0.112786074,0.055695624,-0.054900245,0.119140625,-0.7019531249999998,-0.26171875,-0.099609375
105C_20210708,105C,20210708,7/8/2021,Oat,Under,129.1633171,0.065937444,-0.086587271,0.045895357,-0.008137543,0.587890625,-0.0480468749999996,0.06640625,-0.076171875
106A_20210708,106A,20210708,7/8/2021,Soy,Fallow,128.3091322,0.107839345,-0.016533574,0.072430653,0.024557853,0.212890625,0.1207031250000001,0.13671875,-0.0546875
106B_20210708,106B,20210708,7/8/2021,Soy,Post,124.6710733,0.167584167,0.071422441,0.112960733,0.073930591,0.236328125,0.1628906250000004,0.15234375,0.01171875
106C_20210708,106C,20210708,7/8/2021,Soy,Under,127.7001665,0.146110792,0.04452679,0.099118773,0.064028234,0.212890625,0.1417968750000002,0.13671875,0.044921875
107A_20210708,107A,20210708,7/8/2021,Oat,Fallow,119.9440186,0.046866565,-0.17398936,0.031917256,-0.09638329,-0.244140625,-0.7441406249999998,-0.27734375,-0.2109375
107B_20210708,107B,20210708,7/8/2021,Oat,Post,122.7196861,0.065254812,-0.145276989,0.045705871,-0.08054608,0.107421875,-0.6597656249999998,-0.24609375,-0.150634765625
107C_20210708,107C,20210708,7/8/2021,Oat,Under,116.4810313,0.046597685,-0.181219099,0.030676632,-0.101001067,-0.279296875,-0.8285156249999999,-0.30859375,-0.275390625
108A_20210708,108A,20210708,7/8/2021,Oat,Fallow,107.6777908,0.025346233,-0.237573279,0.015177461,-0.142987196,-0.255859375,-0.7652343749999998,-0.27734375,-0.255859375
108B_20210708,108B,20210708,7/8/2021,Oat,Post,105.3889842,0.020251311,-0.255552602,0.010310415,-0.153210438,-0.267578125,-0.8074218749999998,-0.28515625,-0.32421875
108C_20210708,108C,20210708,7/8/2021,Oat,Under,111.7511031,0.023059021,-0.219748624,0.012659464,-0.122085803,-0.267578125,-0.8074218749999998,-0.30078125,-0.283203125
109A_20210708,109A,20210708,7/8/2021,Oat,Fallow,113.1889576,0.047193527,-0.183227174,0.029160992,-0.101005888,-0.267578125,-0.8074218749999998,-0.30078125,-0.255859375
109B_20210708,109B,20210708,7/8/2021,Oat,Post,113.0500035,0.047506403,-0.177181325,0.030359068,-0.096332057,-0.255859375,-0.7652343749999998,-0.28515625,-0.19140625
109C_20210708,109C,20210708,7/8/2021,Oat,Under,112.479367,0.048843084,-0.169542915,0.029973628,-0.08640686,-0.267578125,-0.8074218749999998,-0.30859375,-0.306640625
110A_20210708,110A,20210708,7/8/2021,Oat,Fallow,103.8164091,0.001220307,-0.279813567,-0.003729842,-0.167252657,-0.291015625,-0.8496093749999998,-0.30859375,-0.462890625
110B_20210708,110B,20210708,7/8/2021,Oat,Post,109.6036762,0.017623932,-0.228082877,0.009476614,-0.130396947,-0.291015625,-0.8285156249999999,-0.31640625,-0.251953125
110C_20210708,110C,20210708,7/8/2021,Oat,Under,109.1825227,0.007384135,-0.253403038,0.00016834,-0.145485832,-0.302734375,-0.8707031249999998,-0.32421875,-0.271484375
201A_20210708,201A,20210708,7/8/2021,Oat,Under,120.9364397,0.042920675,-0.152733167,0.030366235,-0.075635176,0.072265625,-0.7019531249999998,-0.29296875,-0.1328125
201B_20210708,201B,20210708,7/8/2021,Oat,Fallow,124.372487,0.037318812,-0.160510874,0.025261306,-0.075168426,-0.279296875,-0.7863281249999998,-0.30859375,-0.17578125
201C_20210708,201C,20210708,7/8/2021,Oat,Post,123.8304427,0.045356753,-0.143877707,0.03168353,-0.064822729,0.072265625,-0.7441406249999998,-0.30078125,-0.173828125
202A_20210708,202A,20210708,7/8/2021,Oat,Under,123.4217303,0.094929896,-0.086551568,0.067034161,-0.040931675,0.130859375,-0.0691406249999997,0.08984375,-0.072265625
202B_20210708,202B,20210708,7/8/2021,Oat,Fallow,124.8969652,0.060851706,-0.131858798,0.042331414,-0.0644182,0.095703125,-0.7230468749999999,0.05859375,-0.1044921875
202C_20210708,202C,20210708,7/8/2021,Oat,Post,124.9841785,0.094071347,-0.07891421,0.065157886,-0.028706629,0.142578125,-0.6386718749999998,0.08984375,-0.08203125
203A_20210708,203A,20210708,7/8/2021,Soy,Under,117.6588818,0.211426954,0.10950014,0.141858495,0.069399945,0.271484375,0.1839843750000003,0.16796875,0.068359375
203B_20210708,203B,20210708,7/8/2021,Soy,Fallow,114.1487886,0.172066489,0.065059868,0.116017576,0.059691861,0.271484375,0.1839843750000003,0.16796875,-0.025390625
203C_20210708,203C,20210708,7/8/2021,Soy,Post,119.8078326,0.186104824,0.085714172,0.12518687,0.068254843,0.248046875,0.1628906250000004,0.15234375,0.03515625
204A_20210708,204A,20210708,7/8/2021,Oat,Under,121.8231116,0.053793665,-0.148687246,0.037462759,-0.077008247,0.083984375,-0.7230468749999999,-0.28515625,-0.16015625
204B_20210708,204B,20210708,7/8/2021,Oat,Fallow,122.9341436,0.049196763,-0.124637052,0.034235083,-0.045079791,0.083984375,-0.7441406249999998,-0.30859375,-0.134765625
204C_20210708,204C,20210708,7/8/2021,Oat,Post,122.269689,0.060443759,-0.109187135,0.041112547,-0.032697617,0.107421875,-0.7652343749999998,-0.30859375,-0.1640625
205A_20210708,205A,20210708,7/8/2021,Oat,Under,111.5050852,0.043085509,-0.195756624,0.027483493,-0.111495927,-0.279296875,-0.8285156249999999,-0.30859375,-0.314453125
205B_20210708,205B,20210708,7/8/2021,Oat,Fallow,112.8623546,0.046965721,-0.183296373,0.030255941,-0.102767398,-0.279296875,-0.8285156249999999,-0.30859375,-0.314453125
205C_20210708,205C,20210708,7/8/2021,Oat,Post,113.2992705,0.048530098,-0.188725931,0.030319683,-0.106320431,-0.279296875,-0.8496093749999998,-0.30859375,-0.3515625
206A_20210708,206A,20210708,7/8/2021,Oat,Under,111.9486251,0.028348251,-0.180474797,0.018292585,-0.092383568,-0.279296875,-0.8074218749999998,-0.31640625,-0.18359375
206B_20210708,206B,20210708,7/8/2021,Oat,Fallow,111.2816189,0.070981239,-0.123356166,0.047203264,-0.060136881,0.142578125,-0.7863281249999998,-0.30078125,-0.166015625
206C_20210708,206C,20210708,7/8/2021,Oat,Post,117.576263,0.043946866,-0.157572511,0.028117702,-0.074590656,-0.279296875,-0.8285156249999999,-0.31640625,-0.23046875
207A_20210708,207A,20210708,7/8/2021,Oat,Under,120.3023218,0.042790687,-0.166080742,0.029045586,-0.087633482,-0.267578125,-0.7863281249999998,-0.30859375,-0.1484375
207B_20210708,207B,20210708,7/8/2021,Oat,Fallow,117.5882586,0.071705068,-0.108814433,0.049277402,-0.043658472,0.119140625,-0.7441406249999998,-0.29296875,-0.078125
207C_20210708,207C,20210708,7/8/2021,Oat,Post,111.96008,0.106045756,-0.069608494,0.07190719,-0.027946146,0.177734375,-0.6808593749999998,0.10546875,-0.109375
208A_20210708,208A,20210708,7/8/2021,Oat,Under,107.5965584,0.067502244,-0.156147303,0.043426088,-0.086215938,-0.255859375,-0.7863281249999998,-0.29296875,-0.296875
208B_20210708,208B,20210708,7/8/2021,Oat,Fallow,112.623625,0.06152943,-0.138034561,0.040054483,-0.065194459,0.154296875,-0.7441406249999998,-0.29296875,-0.259765625
208C_20210708,208C,20210708,7/8/2021,Oat,Post,111.63876,0.074303554,-0.104431244,0.048320567,-0.036487721,0.224609375,-0.7441406249999998,-0.29296875,-0.115234375
209A_20210708,209A,20210708,7/8/2021,Oat,Under,107.055929,0.047687913,-0.195109341,0.029754684,-0.111680576,-0.255859375,-0.7863281249999998,-0.29296875,-0.236328125
209B_20210708,209B,20210708,7/8/2021,Oat,Fallow,107.5268912,0.056344342,-0.159827556,0.035585526,-0.082482098,-0.267578125,-0.8074218749999998,-0.30859375,-0.26953125
209C_20210708,209C,20210708,7/8/2021,Oat,Post,106.9160297,0.042720999,-0.198996588,0.026048382,-0.114117131,-0.255859375,-0.7863281249999998,-0.29296875,-0.23828125
210A_20210708,210A,20210708,7/8/2021,Oat,Under,123.7251963,0.058556564,-0.100355738,0.039905493,-0.020120725,0.646484375,0.9433593750000002,0.05859375,-0.0703125
210B_20210708,210B,20210708,7/8/2021,Oat,Fallow,121.9983658,0.112026419,-0.037730145,0.076182094,0.006299488,0.189453125,0.0152343750000001,0.10546875,-0.017578125
210C_20210708,210C,20210708,7/8/2021,Oat,Post,126.3833921,0.0808828,-0.033837841,0.055602867,0.059418858,0.740234375,1.0488281250000002,0.08203125,0.0234375
301A_20210708,301A,20210708,7/8/2021,Oat,Post,114.0003587,0.027612235,-0.218357685,0.016743633,-0.126677169,-0.279296875,-0.8285156249999999,-0.30859375,-0.287109375
301B_20210708,301B,20210708,7/8/2021,Oat,Fallow,119.2534438,0.02495972,-0.224689479,0.014510504,-0.130399761,-0.291015625,-0.8496093749999998,-0.31640625,-0.33984375
301C_20210708,301C,20210708,7/8/2021,Oat,Under,115.6302588,0.050773566,-0.183373386,0.03413315,-0.106774571,-0.244140625,-0.7441406249999998,-0.27734375,-0.197265625
302A_20210708,302A,20210708,7/8/2021,Oat,Post,113.7012847,0.048436868,-0.185602092,0.031384739,-0.107054162,-0.267578125,-0.8074218749999998,-0.30859375,-0.171875
302B_20210708,302B,20210708,7/8/2021,Oat,Fallow,111.6782598,0.054153235,-0.174052343,0.035396047,-0.098540978,-0.244140625,-0.7441406249999998,-0.27734375,-0.240234375
302C_20210708,302C,20210708,7/8/2021,Oat,Under,117.0990588,0.059946028,-0.160117577,0.040358766,-0.089390921,0.107421875,-0.7230468749999999,-0.26953125,-0.16015625
303A_20210708,303A,20210708,7/8/2021,Soy,Post,119.577005,0.109862402,-0.040067721,0.071306068,-0.001237339,0.224609375,0.1207031250000001,0.13671875,-0.0703125
303B_20210708,303B,20210708,7/8/2021,Soy,Fallow,114.2951022,0.20199533,0.087913961,0.13303198,0.050915044,0.259765625,0.1628906250000004,0.16015625,0.0390625
303C_20210708,303C,20210708,7/8/2021,Soy,Under,122.7286298,0.185602221,0.094085982,0.124096585,0.084435742,0.248046875,0.1628906250000004,0.15234375,-0.146484375
304A_20210708,304A,20210708,7/8/2021,Oat,Post,123.8234775,0.047568172,-0.155967268,0.03295728,-0.079223901,-0.255859375,-0.7441406249999998,-0.28515625,-0.140625
304B_20210708,304B,20210708,7/8/2021,Oat,Fallow,122.4919376,0.04454446,-0.166597304,0.030582752,-0.08937029,-0.267578125,-0.7652343749999998,-0.29296875,-0.193359375
304C_20210708,304C,20210708,7/8/2021,Oat,Under,119.6007792,0.074806516,-0.150098377,0.052527982,-0.093242448,0.107421875,-0.6597656249999998,-0.24609375,-0.140625
305A_20210708,305A,20210708,7/8/2021,Oat,Post,118.1415877,0.069124524,-0.145149189,0.047523655,-0.080986541,-0.255859375,-0.7652343749999998,-0.28515625,-0.205078125
305B_20210708,305B,20210708,7/8/2021,Oat,Fallow,116.7395687,0.062671421,-0.145281598,0.042839394,-0.077443218,0.119140625,-0.7019531249999998,-0.27734375,-0.166015625
305C_20210708,305C,20210708,7/8/2021,Oat,Under,115.9331237,0.077250063,-0.118231805,0.052615382,-0.058019933,0.130859375,-0.7019531249999998,-0.26171875,-0.115234375
306A_20210708,306A,20210708,7/8/2021,Oat,Post,124.6523704,0.042418712,-0.145878004,0.029251452,-0.064401167,0.072265625,-0.7441406249999998,-0.30078125,-0.12109375
306B_20210708,306B,20210708,7/8/2021,Oat,Fallow,122.1214556,0.057395839,-0.119891386,0.039205718,-0.045256525,0.083984375,-0.7652343749999998,-0.30078125,-0.111328125
306C_20210708,306C,20210708,7/8/2021,Oat,Under,112.4769745,0.088498993,-0.104748311,0.061733027,-0.056808145,0.142578125,-0.0691406249999997,0.08984375,-0.1005859375
307A_20210708,307A,20210708,7/8/2021,Oat,Post,108.8634836,0.065676924,-0.123868271,0.044287301,-0.055358831,0.119140625,-0.7441406249999998,-0.29296875,-0.11328125
307B_20210708,307B,20210708,7/8/2021,Oat,Fallow,118.8798187,0.044738459,-0.158156549,0.029166516,-0.074463589,-0.279296875,-0.8285156249999999,-0.31640625,-0.255859375
307C_20210708,307C,20210708,7/8/2021,Oat,Under,116.0377686,0.064772157,-0.128880987,0.043448636,-0.060840018,0.119140625,-0.7441406249999998,-0.28515625,-0.21484375
308A_20210708,308A,20210708,7/8/2021,Oat,Post,106.9297372,0.044420277,-0.19682454,0.028219221,-0.114163824,-0.267578125,-0.8074218749999998,-0.30078125,-0.2734375
308B_20210708,308B,20210708,7/8/2021,Oat,Fallow,111.2949545,0.03770952,-0.177713459,0.022844092,-0.087796472,-0.267578125,-0.7863281249999998,-0.30078125,-0.26953125
308C_20210708,308C,20210708,7/8/2021,Oat,Under,106.4709767,0.076589744,-0.129538908,0.050047664,-0.066614933,-0.267578125,-0.7863281249999998,-0.30078125,-0.228515625
309A_20210708,309A,20210708,7/8/2021,Oat,Post,109.1565176,0.072316675,-0.132954948,0.047465349,-0.067799689,0.130859375,-0.7230468749999999,-0.26953125,-0.185546875
309B_20210708,309B,20210708,7/8/2021,Oat,Fallow,111.5054619,0.040009929,-0.203550652,0.024311032,-0.116500292,-0.267578125,-0.8074218749999998,-0.30078125,-0.271484375
309C_20210708,309C,20210708,7/8/2021,Oat,Under,111.1544241,0.067637695,-0.162777079,0.043478795,-0.094184454,-0.244140625,-0.7863281249999998,-0.28515625,-0.296875
310A_20210708,310A,20210708,7/8/2021,Oat,Post,114.2260149,0.088587743,-0.095498295,0.058594752,-0.038350143,0.166015625,-0.7019531249999998,-0.26171875,-0.193359375
310B_20210708,310B,20210708,7/8/2021,Oat,Fallow,112.3474861,0.081552998,-0.118579757,0.054265385,-0.06050425,0.142578125,-0.6808593749999998,-0.26171875,-0.1640625
310C_20210708,310C,20210708,7/8/2021,Oat,Under,108.6399475,0.114214414,-0.05358963,0.076372939,-0.014374682,0.201171875,-0.6386718749999998,0.11328125,-0.162109375
401A_20210708,401A,20210708,7/8/2021,Oat,Under,120.0984506,0.047507369,-0.149465088,0.033196105,-0.074023841,0.072265625,-0.7863281249999998,-0.30859375,-0.15625
401B_20210708,401B,20210708,7/8/2021,Oat,Fallow,118.6694518,0.056407838,-0.141502457,0.038979201,-0.069849008,0.095703125,-0.7441406249999998,-0.29296875,-0.2265625
401C_20210708,401C,20210708,7/8/2021,Oat,Post,119.3052484,0.045620278,-0.148333199,0.031690856,-0.071170501,0.072265625,-0.7019531249999998,-0.27734375,-0.13671875
402A_20210708,402A,20210708,7/8/2021,Oat,Under,125.4368068,0.10147339,-0.090777708,0.069999308,-0.048332798,0.142578125,-0.6808593749999998,0.08984375,-0.158203125
402B_20210708,402B,20210708,7/8/2021,Oat,Fallow,122.2885281,0.121850777,-0.040077068,0.084423838,-0.007900086,0.177734375,-0.0058593749999997,0.11328125,-0.017578125
402C_20210708,402C,20210708,7/8/2021,Oat,Post,130.4246768,0.113473024,-0.036823637,0.079775399,0.00596986,0.142578125,-0.0058593749999997,0.09765625,0.001953125
403A_20210708,403A,20210708,7/8/2021,Oat,Under,118.6365483,0.041637923,-0.159612024,0.028209182,-0.079430444,-0.267578125,-0.7863281249999998,-0.30859375,-0.228515625
403B_20210708,403B,20210708,7/8/2021,Oat,Fallow,117.4297487,0.051419389,-0.127555837,0.03497025,-0.049440821,0.083984375,-0.7863281249999998,-0.30859375,-0.236328125
403C_20210708,403C,20210708,7/8/2021,Oat,Post,113.6069271,0.035817587,-0.156304907,0.024324043,-0.073529056,0.048828125,-0.7441406249999998,-0.30078125,-0.119140625
404A_20210708,404A,20210708,7/8/2021,Soy,Under,120.5967194,0.218757121,0.138350886,0.147958092,0.099269806,0.283203125,0.2261718750000001,0.17578125,0.0390625
404B_20210708,404B,20210708,7/8/2021,Soy,Fallow,113.9870225,0.1230473,-0.026149068,0.08150525,0.000388186,0.224609375,0.0996093750000002,0.13671875,-0.150390625
404C_20210708,404C,20210708,7/8/2021,Soy,Post,118.212789,0.092270991,-0.058697222,0.060633799,-0.008684291,0.189453125,0.0785156250000003,0.12109375,-0.05078125
405A_20210708,405A,20210708,7/8/2021,Oat,Under,113.0280184,0.069683724,-0.122344936,0.045611008,-0.055942031,0.166015625,-0.7441406249999998,-0.28515625,-0.197265625
405B_20210708,405B,20210708,7/8/2021,Oat,Fallow,106.9354391,0.042686169,-0.171334126,0.026080746,-0.086235617,-0.291015625,-0.8496093749999998,-0.31640625,-0.19921875
405C_20210708,405C,20210708,7/8/2021,Oat,Post,128.8967608,0.009476964,-0.226207779,0.002310092,-0.121885377,-0.291015625,-0.8496093749999998,-0.31640625,-0.33203125
406A_20210708,406A,20210708,7/8/2021,Oat,Under,122.3840292,0.069929903,-0.093052491,0.04666147,-0.018200651,0.130859375,-0.7863281249999998,-0.30859375,-0.150390625
406B_20210708,406B,20210708,7/8/2021,Oat,Fallow,120.8176659,0.094901821,-0.072618049,0.064041618,-0.019327293,0.142578125,-0.7863281249999998,-0.30859375,-0.052734375
406C_20210708,406C,20210708,7/8/2021,Oat,Post,118.8557257,0.060417744,-0.138620666,0.03894902,-0.064481239,-0.267578125,-0.8074218749999998,-0.30859375,-0.20703125
407A_20210708,407A,20210708,7/8/2021,Oat,Under,111.689303,0.045754857,-0.183124928,0.030055764,-0.101891205,-0.255859375,-0.7652343749999998,-0.28515625,-0.1875
407B_20210708,407B,20210708,7/8/2021,Oat,Fallow,111.4800168,0.04212979,-0.187004493,0.025879008,-0.100593023,-0.279296875,-0.8496093749999998,-0.31640625,-0.2578125
407C_20210708,407C,20210708,7/8/2021,Oat,Post,113.48497,0.039870977,-0.188730352,0.024743101,-0.102520009,-0.279296875,-0.8285156249999999,-0.30859375,-0.3359375
408A_20210708,408A,20210708,7/8/2021,Oat,Under,105.3151999,0.035205585,-0.199278221,0.02154703,-0.112920842,-0.267578125,-0.7863281249999998,-0.29296875,-0.279296875
408B_20210708,408B,20210708,7/8/2021,Oat,Fallow,107.6480599,0.036575542,-0.180376081,0.02189376,-0.090111908,-0.291015625,-0.8496093749999998,-0.32421875,-0.3125
408C_20210708,408C,20210708,7/8/2021,Oat,Post,107.2263193,0.039450385,-0.18507824,0.024755599,-0.098967848,-0.267578125,-0.7863281249999998,-0.30078125,-0.291015625
409A_20210708,409A,20210708,7/8/2021,Oat,Under,108.7279589,0.036304159,-0.207319779,0.021227435,-0.115411776,-0.291015625,-0.8496093749999998,-0.31640625,-0.2734375
409B_20210708,409B,20210708,7/8/2021,Oat,Fallow,106.1114902,0.064340978,-0.135751005,0.041999225,-0.064924898,0.142578125,-0.7441406249999998,-0.29296875,-0.1640625
409C_20210708,409C,20210708,7/8/2021,Oat,Post,107.9078691,0.046797986,-0.18351556,0.028581212,-0.097768314,-0.279296875,-0.8285156249999999,-0.31640625,-0.30859375
410A_20210708,410A,20210708,7/8/2021,Oat,Under,114.3972527,0.093711343,-0.092985046,0.062304503,-0.041023996,0.166015625,-0.6808593749999998,-0.25390625,-0.158203125
410B_20210708,410B,20210708,7/8/2021,Oat,Fallow,110.6194049,0.123050589,-0.039117021,0.082480506,-0.006625096,0.201171875,-0.0058593749999997,0.11328125,-0.0703125
410C_20210708,410C,20210708,7/8/2021,Oat,Post,110.8505387,0.110558256,-0.06468353,0.073470699,-0.022193708,0.177734375,-0.7230468749999999,-0.27734375,-0.173828125
101A_20210821,101A,20210821,8/21/2021,Oat,Fallow,132.4891015,0.046686398,-0.109580453,0.029895164,-0.021067115,0.611328125,-0.8074218749999998,-0.33984375,-0.119140625
101B_20210821,101B,20210821,8/21/2021,Oat,Post,130.6063719,-0.000685728,-0.18027676,-0.003775097,-0.069560468,-0.326171875,-0.8285156249999999,-0.34765625,-0.619140625
101C_20210821,101C,20210821,8/21/2021,Oat,Under,134.8239591,0.032847771,-0.142220333,0.021085054,-0.045447362,-0.291015625,-0.8074218749999998,-0.32421875,-0.193359375
102A_20210821,102A,20210821,8/21/2021,Oat,Fallow,131.1131575,0.094839959,-0.05531645,0.065314041,0.004531942,0.611328125,-0.7441406249999998,-0.30078125,-0.072265625
102B_20210821,102B,20210821,8/21/2021,Oat,Post,137.1659954,0.027923436,-0.142933226,0.017450924,-0.041281415,-0.302734375,-0.8285156249999999,-0.33203125,-0.2109375
102C_20210821,102C,20210821,8/21/2021,Oat,Under,135.7793735,0.041706894,-0.115654995,0.0281589,-0.020764584,0.083984375,-0.7230468749999999,-0.28515625,-0.078125
103A_20210821,103A,20210821,8/21/2021,Oat,Fallow,137.5260557,0.056720411,-0.119314274,0.038826534,-0.042734416,0.107421875,-0.7863281249999998,-0.31640625,-0.064453125
103B_20210821,103B,20210821,8/21/2021,Oat,Post,134.5765837,0.030674249,-0.141682385,0.019037376,-0.047290617,-0.314453125,-0.8285156249999999,-0.34765625,-0.140625
103C_20210821,103C,20210821,8/21/2021,Oat,Under,133.5315894,0.039706356,-0.135723452,0.025504527,-0.043804058,-0.279296875,-0.7863281249999998,-0.31640625,-0.138671875
104A_20210821,104A,20210821,8/21/2021,Oat,Fallow,131.8322427,0.045340988,-0.104889574,0.030544658,-0.014639367,0.576171875,-0.7441406249999998,-0.31640625,-0.12109375
104B_20210821,104B,20210821,8/21/2021,Oat,Post,128.7807629,0.024938297,-0.138772909,0.015319344,-0.034167171,0.623046875,-0.7652343749999998,-0.32421875,-0.09375
104C_20210821,104C,20210821,8/21/2021,Oat,Under,143.9581541,0.035762664,-0.113107947,0.023769813,-0.013228231,0.107421875,-0.0058593749999997,0.06640625,-0.033203125
105A_20210821,105A,20210821,8/21/2021,Oat,Fallow,138.3431996,0.033844695,-0.141582712,0.022486939,-0.046982457,-0.302734375,-0.8285156249999999,-0.33203125,-0.1171875
105B_20210821,105B,20210821,8/21/2021,Oat,Post,138.6249542,0.045658234,-0.130642269,0.030798815,-0.046507866,-0.291015625,-0.8074218749999998,-0.32421875,-0.080078125
105C_20210821,105C,20210821,8/21/2021,Oat,Under,135.3345743,0.025940231,-0.137967794,0.016471959,-0.039707152,-0.302734375,-0.7863281249999998,-0.33984375,-0.119140625
106A_20210821,106A,20210821,8/21/2021,Soy,Fallow,121.8260369,0.002737573,-0.17112804,-0.002113751,-0.062883997,-0.302734375,-0.7863281249999998,-0.33984375,-2.84765625
106B_20210821,106B,20210821,8/21/2021,Soy,Post,129.8535888,-0.004129111,-0.175491457,-0.004276657,-0.066414027,0.060546875,-0.2167968749999997,0.03515625,-0.220703125
106C_20210821,106C,20210821,8/21/2021,Soy,Under,134.4675842,0.0280923,-0.124275037,0.016548656,-0.030593262,0.083984375,-0.0269531249999996,0.05078125,-0.138671875
107A_20210821,107A,20210821,8/21/2021,Oat,Fallow,124.4466402,0.021719041,-0.114627167,0.013045236,0.007666402,0.611328125,-0.0691406249999997,-0.31640625,3.2265625
107B_20210821,107B,20210821,8/21/2021,Oat,Post,130.4339694,-0.004545002,-0.159771302,-0.005811318,-0.037676116,-0.291015625,-0.7441406249999998,-0.32421875,-2.794921875
107C_20210821,107C,20210821,8/21/2021,Oat,Under,138.7208109,-0.001730487,-0.16444977,-0.00315197,-0.049027255,-0.302734375,-0.7652343749999998,-0.34765625,-0.169921875
108A_20210821,108A,20210821,8/21/2021,Oat,Fallow,128.108988,0.032188659,-0.106112206,0.020685337,0.009757739,0.060546875,-0.6386718749999998,-0.29296875,-0.103515625
108B_20210821,108B,20210821,8/21/2021,Oat,Post,128.9265189,0.005227107,-0.155380382,0.001014128,-0.030493347,-0.314453125,-0.8285156249999999,-0.34765625,-0.099609375
108C_20210821,108C,20210821,8/21/2021,Oat,Under,131.7705703,0.006072175,-0.151921422,0.001557448,-0.034814735,-0.291015625,-0.7441406249999998,-0.33203125,-2.80859375
109A_20210821,109A,20210821,8/21/2021,Oat,Fallow,140.8840931,0.02804304,-0.146997989,0.020253493,-0.060047879,0.037109375,-0.1113281249999997,0.02734375,-0.0830078125
109B_20210821,109B,20210821,8/21/2021,Oat,Post,130.2128493,0.018093388,-0.181100171,0.01019123,-0.086052351,-0.255859375,-0.7652343749999998,-0.30078125,-0.267578125
109C_20210821,109C,20210821,8/21/2021,Oat,Under,131.9642646,0.001645309,-0.191463493,-0.001676532,-0.080651612,-0.267578125,-0.7441406249999998,-0.30859375,-0.212890625
110A_20210821,110A,20210821,8/21/2021,Oat,Fallow,124.335813,-0.024198817,-0.188585024,-0.020885893,-0.051484106,-0.021484375,-0.5964843749999997,-0.29296875,3.408203125
110B_20210821,110B,20210821,8/21/2021,Oat,Post,126.1664372,-0.046260003,-0.243668549,-0.038344331,-0.114634206,-0.302734375,-0.7652343749999998,-0.33203125,-0.150390625
110C_20210821,110C,20210821,8/21/2021,Oat,Under,127.6144415,-0.046575908,-0.23950378,-0.039277213,-0.103993667,-0.302734375,-0.7652343749999998,-0.33203125,-0.15625
201A_20210821,201A,20210821,8/21/2021,Oat,Under,125.7706209,-0.034978189,-0.225844309,-0.030910194,-0.086195208,-0.267578125,-0.7230468749999999,-0.30859375,-0.283203125
