Image,Plot,Date_Index,Date,Variety,Cover,Mean_Green
306C_20210708,306C,20210708,07/08/2021,Oat,Under,0.36283159129004305
307A_20210708,307A,20210708,07/08/2021,Oat,Post,0.355220618084806
307B_20210708,307B,20210708,07/08/2021,Oat,Fallow,0.3482371109741775
307C_20210708,307C,20210708,07/08/2021,Oat,Under,0.3549218419631139
308A_20210708,308A,20210708,07/08/2021,Oat,Post,0.3481356718701211
308B_20210708,308B,20210708,07/08/2021,Oat,Fallow,0.34589312668091665
308C_20210708,308C,20210708,07/08/2021,Oat,Under,0.35885360318311754
309A_20210708,309A,20210708,07/08/2021,Oat,Post,0.3574350738136535
309B_20210708,309B,20210708,07/08/2021,Oat,Fallow,0.34666676149418135
309C_20210708,309C,20210708,07/08/2021,Oat,Under,0.35587581576496696
310A_20210708,310A,20210708,07/08/2021,Oat,Post,0.36285434271875766
310B_20210708,310B,20210708,07/08/2021,Oat,Fallow,0.3605114372739336
310C_20210708,310C,20210708,07/08/2021,Oat,Under,0.3713955618789272
401A_20210708,401A,20210708,07/08/2021,Oat,Under,0.3491677165293245
401B_20210708,401B,20210708,07/08/2021,Oat,Fallow,0.3521329320185181
401C_20210708,401C,20210708,07/08/2021,Oat,Post,0.3485382844092118
402A_20210708,402A,20210708,07/08/2021,Oat,Under,0.36715598814887923
402B_20210708,402B,20210708,07/08/2021,Oat,Fallow,0.37394845074243516
402C_20210708,402C,20210708,07/08/2021,Oat,Post,0.3711558661357092
403A_20210708,403A,20210708,07/08/2021,Oat,Under,0.3472110336848027
403B_20210708,403B,20210708,07/08/2021,Oat,Fallow,0.35046850811888686
403C_20210708,403C,20210708,07/08/2021,Oat,Post,0.345269916986834
404A_20210708,404A,20210708,07/08/2021,Soy,Under,0.406248355209675
404B_20210708,404B,20210708,07/08/2021,Soy,Fallow,0.37433744603006325
404C_20210708,404C,20210708,07/08/2021,Soy,Post,0.3640780736685558
405A_20210708,405A,20210708,07/08/2021,Oat,Under,0.35655300318339606
405B_20210708,405B,20210708,07/08/2021,Oat,Fallow,0.3475524118029212
405C_20210708,405C,20210708,07/08/2021,Oat,Post,0.3364897093053071
406A_20210708,406A,20210708,07/08/2021,Oat,Under,0.35663003952610606
406B_20210708,406B,20210708,07/08/2021,Oat,Fallow,0.3649556195831134
406C_20210708,406C,20210708,07/08/2021,Oat,Post,0.3534633385039164
407A_20210708,407A,20210708,07/08/2021,Oat,Under,0.34858334487704606
407B_20210708,407B,20210708,07/08/2021,Oat,Fallow,0.3473711713895025
407C_20210708,407C,20210708,07/08/2021,Oat,Post,0.3466190374315614
408A_20210708,408A,20210708,07/08/2021,Oat,Under,0.3450651126609719
408B_20210708,408B,20210708,07/08/2021,Oat,Fallow,0.3455131248022162
408C_20210708,408C,20210708,07/08/2021,Oat,Post,0.34647843854157034
409A_20210708,409A,20210708,07/08/2021,Oat,Under,0.34542808901021105
409B_20210708,409B,20210708,07/08/2021,Oat,Fallow,0.3547714851109559
409C_20210708,409C,20210708,07/08/2021,Oat,Post,0.3489250267725311
410A_20210708,410A,20210708,07/08/2021,Oat,Under,0.36456763458120134
410B_20210708,410B,20210708,07/08/2021,Oat,Fallow,0.374343163855525
410C_20210708,410C,20210708,07/08/2021,Oat,Post,0.3701774451501541
101A_20210821,101A,20210821,08/21/2021,Oat,Fallow,0.3488858212507905
101B_20210821,101B,20210821,08/21/2021,Oat,Post,0.3330939070178434
101C_20210821,101C,20210821,08/21/2021,Oat,Under,0.3442749551011246
102A_20210821,102A,20210821,08/21/2021,Oat,Fallow,0.36493982123625607
102B_20210821,102B,20210821,08/21/2021,Oat,Post,0.34263270615106667
102C_20210821,102C,20210821,08/21/2021,Oat,Under,0.3472316126422058
103A_20210821,103A,20210821,08/21/2021,Oat,Fallow,0.35223652039804104
103B_20210821,103B,20210821,08/21/2021,Oat,Post,0.34355004577140513
103C_20210821,103C,20210821,08/21/2021,Oat,Under,0.34656235569738275
104A_20210821,104A,20210821,08/21/2021,Oat,Fallow,0.3484395616788895
104B_20210821,104B,20210821,08/21/2021,Oat,Post,0.3416366551051308
104C_20210821,104C,20210821,08/21/2021,Oat,Under,0.34524799261915107
105A_20210821,105A,20210821,08/21/2021,Oat,Fallow,0.34460625831341407
105B_20210821,105B,20210821,08/21/2021,Oat,Post,0.3485483242367894
105C_20210821,105C,20210821,08/21/2021,Oat,Under,0.34197163792705976
106A_20210821,106A,20210821,08/21/2021,Soy,Fallow,0.3342356101655388
106B_20210821,106B,20210821,08/21/2021,Soy,Post,0.33195595850281784
106C_20210821,106C,20210821,08/21/2021,Soy,Under,0.342687989536452
107A_20210821,107A,20210821,08/21/2021,Oat,Fallow,0.34056296703381395
107B_20210821,107B,20210821,08/21/2021,Oat,Post,0.3318088889525886
107C_20210821,107C,20210821,08/21/2021,Oat,Under,0.3327522848216681
108A_20210821,108A,20210821,08/21/2021,Oat,Fallow,0.34405283980088797
108B_20210821,108B,20210821,08/21/2021,Oat,Post,0.3350666605164343
108C_20210821,108C,20210821,08/21/2021,Oat,Under,0.33534413021680626
109A_20210821,109A,20210821,08/21/2021,Oat,Fallow,0.34268101330839573
109B_20210821,109B,20210821,08/21/2021,Oat,Post,0.3393612478968696
109C_20210821,109C,20210821,08/21/2021,Oat,Under,0.33387855460919336
110A_20210821,110A,20210821,08/21/2021,Oat,Fallow,0.3252624394480394
110B_20210821,110B,20210821,08/21/2021,Oat,Post,0.3179095144911907
110C_20210821,110C,20210821,08/21/2021,Oat,Under,0.3178032082221978
201A_20210821,201A,20210821,08/21/2021,Oat,Under,0.3216697175720473
201B_20210821,201B,20210821,08/21/2021,Oat,Fallow,0.31268550732790956
201C_20210821,201C,20210821,08/21/2021,Oat,Post,0.31562670843419083
202A_20210821,202A,20210821,08/21/2021,Oat,Under,0.36215999163117296
202B_20210821,202B,20210821,08/21/2021,Oat,Fallow,0.36640778246683553
202C_20210821,202C,20210821,08/21/2021,Oat,Post,0.3533133557326788
203A_20210821,203A,20210821,08/21/2021,Soy,Under,0.3294267029617969
203B_20210821,203B,20210821,08/21/2021,Soy,Fallow,0.3171035533530902
203C_20210821,203C,20210821,08/21/2021,Soy,Post,0.32930495119121117
204A_20210821,204A,20210821,08/21/2021,Oat,Under,0.3543936644616655
204B_20210821,204B,20210821,08/21/2021,Oat,Fallow,0.35445397688410674
204C_20210821,204C,20210821,08/21/2021,Oat,Post,0.3458341974438853
205A_20210821,205A,20210821,08/21/2021,Oat,Under,0.3626321604798836
205B_20210821,205B,20210821,08/21/2021,Oat,Fallow,0.35103853695971576
205C_20210821,205C,20210821,08/21/2021,Oat,Post,0.3424809642393096
206A_20210821,206A,20210821,08/21/2021,Oat,Under,0.32364477555243415
206B_20210821,206B,20210821,08/21/2021,Oat,Fallow,0.3280579566344065
206C_20210821,206C,20210821,08/21/2021,Oat,Post,0.3364265677243048
207A_20210821,207A,20210821,08/21/2021,Oat,Under,0.3326084545166093
207B_20210821,207B,20210821,08/21/2021,Oat,Fallow,0.346965729542663
207C_20210821,207C,20210821,08/21/2021,Oat,Post,0.3531930574425903
208A_20210821,208A,20210821,08/21/2021,Oat,Under,0.3206443133532594
208B_20210821,208B,20210821,08/21/2021,Oat,Fallow,0.32108748582254587
208C_20210821,208C,20210821,08/21/2021,Oat,Post,0.31895011809836477
209A_20210821,209A,20210821,08/21/2021,Oat,Under,0.3514819333917173
209B_20210821,209B,20210821,08/21/2021,Oat,Fallow,0.36368630611539204
209C_20210821,209C,20210821,08/21/2021,Oat,Post,0.35996594285692757
210A_20210821,210A,20210821,08/21/2021,Oat,Under,0.32668730773416277
210B_20210821,210B,20210821,08/21/2021,Oat,Fallow,0.34766840416893
210C_20210821,210C,20210821,08/21/2021,Oat,Post,0.34475729003590067
301A_20210821,301A,20210821,08/21/2021,Oat,Post,0.35363580580763515
301B_20210821,301B,20210821,08/21/2021,Oat,Fallow,0.3578621595254917
301C_20210821,301C,20210821,08/21/2021,Oat,Under,0.3539585378710316
302A_20210821,302A,20210821,08/21/2021,Oat,Post,0.35526244722764666
302B_20210821,302B,20210821,08/21/2021,Oat,Fallow,0.3705540857352607
302C_20210821,302C,20210821,08/21/2021,Oat,Under,0.35502127785362403
303A_20210821,303A,20210821,08/21/2021,Soy,Post,0.3307684892627724
303B_20210821,303B,20210821,08/21/2021,Soy,Fallow,0.3367009779825277
303C_20210821,303C,20210821,08/21/2021,Soy,Under,0.34957933922053513
304A_20210821,304A,20210821,08/21/2021,Oat,Post,0.3403045131564357
304B_20210821,304B,20210821,08/21/2021,Oat,Fallow,0.3481416687267259
304C_20210821,304C,20210821,08/21/2021,Oat,Under,0.34156967604174465
305A_20210821,305A,20210821,08/21/2021,Oat,Post,0.3384284314436908
305B_20210821,305B,20210821,08/21/2021,Oat,Fallow,0.3527248736751926
305C_20210821,305C,20210821,08/21/2021,Oat,Under,0.35311182506007655
306A_20210821,306A,20210821,08/21/2021,Oat,Post,0.3246549228559031
306B_20210821,306B,20210821,08/21/2021,Oat,Fallow,0.32946717357841665
306C_20210821,306C,20210821,08/21/2021,Oat,Under,0.3358350281371321
307A_20210821,307A,20210821,08/21/2021,Oat,Post,0.32860608811897396
307B_20210821,307B,20210821,08/21/2021,Oat,Fallow,0.3257030276167928
307C_20210821,307C,20210821,08/21/2021,Oat,Under,0.33405196384893476
308A_20210821,308A,20210821,08/21/2021,Oat,Post,0.32662920301858867
308B_20210821,308B,20210821,08/21/2021,Oat,Fallow,0.33343440945258196
308C_20210821,308C,20210821,08/21/2021,Oat,Under,0.3268227216292562
309A_20210821,309A,20210821,08/21/2021,Oat,Post,0.3227985774064543
309B_20210821,309B,20210821,08/21/2021,Oat,Fallow,0.33131586852831557
309C_20210821,309C,20210821,08/21/2021,Oat,Under,0.33155286309811377
310A_20210821,310A,20210821,08/21/2021,Oat,Post,0.31018971414513696
310B_20210821,310B,20210821,08/21/2021,Oat,Fallow,0.32382684319621907
310C_20210821,310C,20210821,08/21/2021,Oat,Under,0.3281448487185121
401A_20210821,401A,20210821,08/21/2021,Oat,Under,0.31536130475333346
401B_20210821,401B,20210821,08/21/2021,Oat,Fallow,0.31154414970294647
401C_20210821,401C,20210821,08/21/2021,Oat,Post,0.31509874243701397
402A_20210821,402A,20210821,08/21/2021,Oat,Under,0.3612478497610942
402B_20210821,402B,20210821,08/21/2021,Oat,Fallow,0.35191957413706465
402C_20210821,402C,20210821,08/21/2021,Oat,Post,0.3212637123377223
403A_20210821,403A,20210821,08/21/2021,Oat,Under,0.3268439347369828
403B_20210821,403B,20210821,08/21/2021,Oat,Fallow,0.3191661864775148
403C_20210821,403C,20210821,08/21/2021,Oat,Post,0.3289062967441437
404A_20210821,404A,20210821,08/21/2021,Soy,Under,0.3265506180148226
404B_20210821,404B,20210821,08/21/2021,Soy,Fallow,0.33441560697733214
404C_20210821,404C,20210821,08/21/2021,Soy,Post,0.3324126261916168
405A_20210821,405A,20210821,08/21/2021,Oat,Under,0.35281135368542094
405B_20210821,405B,20210821,08/21/2021,Oat,Fallow,0.33308412303194374
405C_20210821,405C,20210821,08/21/2021,Oat,Post,0.3392470463927915
406A_20210821,406A,20210821,08/21/2021,Oat,Under,0.33027559618290253
406B_20210821,406B,20210821,08/21/2021,Oat,Fallow,0.3234868176834166
406C_20210821,406C,20210821,08/21/2021,Oat,Post,0.3307827951793863
407A_20210821,407A,20210821,08/21/2021,Oat,Under,0.34808222581345144
407B_20210821,407B,20210821,08/21/2021,Oat,Fallow,0.3497216859879219
407C_20210821,407C,20210821,08/21/2021,Oat,Post,0.3566633038343223
408A_20210821,408A,20210821,08/21/2021,Oat,Under,0.33161377425597693
408B_20210821,408B,20210821,08/21/2021,Oat,Fallow,0.33609879272199283
408C_20210821,408C,20210821,08/21/2021,Oat,Post,0.3285162855383195
409A_20210821,409A,20210821,08/21/2021,Oat,Under,0.3747068680888997
409B_20210821,409B,20210821,08/21/2021,Oat,Fallow,0.35844804300717925
409C_20210821,409C,20210821,08/21/2021,Oat,Post,0.35738968756277784
410A_20210821,410A,20210821,08/21/2021,Oat,Under,0.3550012965915073
410B_20210821,410B,20210821,08/21/2021,Oat,Fallow,0.37414794048947675
410C_20210821,410C,20210821,08/21/2021,Oat,Post,0.34992406324391623
101A_20210909,101A,20210909,09/09/2021,Oat,Fallow,0.35249437315498244
101B_20210909,101B,20210909,09/09/2021,Oat,Post,0.3372070522001949
101C_20210909,101C,20210909,09/09/2021,Oat,Under,0.3864643617059583
102A_20210909,102A,20210909,09/09/2021,Oat,Fallow,0.3447626807971494
102B_20210909,102B,20210909,09/09/2021,Oat,Post,0.33479894253046216
102C_20210909,102C,20210909,09/09/2021,Oat,Under,0.3717450087982944
103A_20210909,103A,20210909,09/09/2021,Oat,Fallow,0.3504758883898386
103B_20210909,103B,20210909,09/09/2021,Oat,Post,0.34003656595782783
103C_20210909,103C,20210909,09/09/2021,Oat,Under,0.3664950026429162
104A_20210909,104A,20210909,09/09/2021,Oat,Fallow,0.33803075674346394
104B_20210909,104B,20210909,09/09/2021,Oat,Post,0.33564803463595916
104C_20210909,104C,20210909,09/09/2021,Oat,Under,0.38952158677401516
105A_20210909,105A,20210909,09/09/2021,Oat,Fallow,0.33852487161234945
105B_20210909,105B,20210909,09/09/2021,Oat,Post,0.33931534203693653
105C_20210909,105C,20210909,09/09/2021,Oat,Under,0.3902805983383395
106A_20210909,106A,20210909,09/09/2021,Soy,Fallow,0.3316881981776027
106B_20210909,106B,20210909,09/09/2021,Soy,Post,0.3381859971349189
106C_20210909,106C,20210909,09/09/2021,Soy,Under,0.3584587383804576
107A_20210909,107A,20210909,09/09/2021,Oat,Fallow,0.33289851315894725
107B_20210909,107B,20210909,09/09/2021,Oat,Post,0.34789537361550676
107C_20210909,107C,20210909,09/09/2021,Oat,Under,0.37417434637022345
108A_20210909,108A,20210909,09/09/2021,Oat,Fallow,0.3476707600070636
108B_20210909,108B,20210909,09/09/2021,Oat,Post,0.34586814433074714
108C_20210909,108C,20210909,09/09/2021,Oat,Under,0.37264351381982685
109A_20210909,109A,20210909,09/09/2021,Oat,Fallow,0.33720677927313775
109B_20210909,109B,20210909,09/09/2021,Oat,Post,0.3455881229993873
109C_20210909,109C,20210909,09/09/2021,Oat,Under,0.38851008416906047
110A_20210909,110A,20210909,09/09/2021,Oat,Fallow,0.33653004156654187
110B_20210909,110B,20210909,09/09/2021,Oat,Post,0.35063247059749475
110C_20210909,110C,20210909,09/09/2021,Oat,Under,0.3854072944264651
201A_20210909,201A,20210909,09/09/2021,Oat,Under,0.3998354111745325
201B_20210909,201B,20210909,09/09/2021,Oat,Fallow,0.345189979702462
201C_20210909,201C,20210909,09/09/2021,Oat,Post,0.3444423111399096
202A_20210909,202A,20210909,09/09/2021,Oat,Under,0.43164031359908955
202B_20210909,202B,20210909,09/09/2021,Oat,Fallow,0.34039914949938904
202C_20210909,202C,20210909,09/09/2021,Oat,Post,0.35496835312638947
203A_20210909,203A,20210909,09/09/2021,Soy,Under,0.37947026434190373
203B_20210909,203B,20210909,09/09/2021,Soy,Fallow,0.332510224803889
203C_20210909,203C,20210909,09/09/2021,Soy,Post,0.3362678977709678
204A_20210909,204A,20210909,09/09/2021,Oat,Under,0.398746882221199
204B_20210909,204B,20210909,09/09/2021,Oat,Fallow,0.3431103954385597
204C_20210909,204C,20210909,09/09/2021,Oat,Post,0.34907743024715654
205A_20210909,205A,20210909,09/09/2021,Oat,Under,0.3643816832374741
205B_20210909,205B,20210909,09/09/2021,Oat,Fallow,0.3499058772155954
205C_20210909,205C,20210909,09/09/2021,Oat,Post,0.3397002900480406
206A_20210909,206A,20210909,09/09/2021,Oat,Under,0.4073725809538343
206B_20210909,206B,20210909,09/09/2021,Oat,Fallow,0.34334240286028683
206C_20210909,206C,20210909,09/09/2021,Oat,Post,0.3405661692592145
207A_20210909,207A,20210909,09/09/2021,Oat,Under,0.3759780058608402
207B_20210909,207B,20210909,09/09/2021,Oat,Fallow,0.3450276726003986
207C_20210909,207C,20210909,09/09/2021,Oat,Post,0.34284007230829194
208A_20210909,208A,20210909,09/09/2021,Oat,Under,0.37741580810071235
208B_20210909,208B,20210909,09/09/2021,Oat,Fallow,0.34138834187658756
208C_20210909,208C,20210909,09/09/2021,Oat,Post,0.34516786062838023
209A_20210909,209A,20210909,09/09/2021,Oat,Under,0.3993952848482891
209B_20210909,209B,20210909,09/09/2021,Oat,Fallow,0.3894719663873669
209C_20210909,209C,20210909,09/09/2021,Oat,Post,0.36027440883478434
210A_20210909,210A,20210909,09/09/2021,Oat,Under,0.38473253263267676
210B_20210909,210B,20210909,09/09/2021,Oat,Fallow,0.3499396912742095
210C_20210909,210C,20210909,09/09/2021,Oat,Post,0.3401487064929954
301A_20210909,301A,20210909,09/09/2021,Oat,Post,0.3473157516706691
301B_20210909,301B,20210909,09/09/2021,Oat,Fallow,0.34221775154838396
301C_20210909,301C,20210909,09/09/2021,Oat,Under,0.4067305136662401
302A_20210909,302A,20210909,09/09/2021,Oat,Post,0.3392301160435362
302B_20210909,302B,20210909,09/09/2021,Oat,Fallow,0.33480870723730904
302C_20210909,302C,20210909,09/09/2021,Oat,Under,0.4038791373088243
303A_20210909,303A,20210909,09/09/2021,Soy,Post,0.3388880567718342
303B_20210909,303B,20210909,09/09/2021,Soy,Fallow,0.3547689655165602
303C_20210909,303C,20210909,09/09/2021,Soy,Under,0.40519350249457603
304A_20210909,304A,20210909,09/09/2021,Oat,Post,0.34540671091543323
304B_20210909,304B,20210909,09/09/2021,Oat,Fallow,0.34436602939712513
304C_20210909,304C,20210909,09/09/2021,Oat,Under,0.3994859899572631
305A_20210909,305A,20210909,09/09/2021,Oat,Post,0.3447035822058985
305B_20210909,305B,20210909,09/09/2021,Oat,Fallow,0.3412584017172233
305C_20210909,305C,20210909,09/09/2021,Oat,Under,0.40845727416736477
306A_20210909,306A,20210909,09/09/2021,Oat,Post,0.3329569517772157
306B_20210909,306B,20210909,09/09/2021,Oat,Fallow,0.3343541730199375
306C_20210909,306C,20210909,09/09/2021,Oat,Under,0.38560077156096434
307A_20210909,307A,20210909,09/09/2021,Oat,Post,0.3422024102833722
307B_20210909,307B,20210909,09/09/2021,Oat,Fallow,0.3330270353358917
307C_20210909,307C,20210909,09/09/2021,Oat,Under,0.3800748103192282
308A_20210909,308A,20210909,09/09/2021,Oat,Post,0.33635820697498964
308B_20210909,308B,20210909,09/09/2021,Oat,Fallow,0.3454054257028859
308C_20210909,308C,20210909,09/09/2021,Oat,Under,0.3624760980127569
309A_20210909,309A,20210909,09/09/2021,Oat,Post,0.34282270216533806
309B_20210909,309B,20210909,09/09/2021,Oat,Fallow,0.3566131645428649
309C_20210909,309C,20210909,09/09/2021,Oat,Under,0.38652006404844524
310A_20210909,310A,20210909,09/09/2021,Oat,Post,0.34247127966667246
310B_20210909,310B,20210909,09/09/2021,Oat,Fallow,0.3485923405912297
310C_20210909,310C,20210909,09/09/2021,Oat,Under,0.38356667531050276
401A_20210909,401A,20210909,09/09/2021,Oat,Under,0.4228282797735212
401B_20210909,401B,20210909,09/09/2021,Oat,Fallow,0.3437658814853253
401C_20210909,401C,20210909,09/09/2021,Oat,Post,0.3342702617651365
402A_20210909,402A,20210909,09/09/2021,Oat,Under,0.4284144932996721
402B_20210909,402B,20210909,09/09/2021,Oat,Fallow,0.34339436100492204
402C_20210909,402C,20210909,09/09/2021,Oat,Post,0.3384170151494487
403A_20210909,403A,20210909,09/09/2021,Oat,Under,0.4093904537401289
403B_20210909,403B,20210909,09/09/2021,Oat,Fallow,0.3354305798528541
403C_20210909,403C,20210909,09/09/2021,Oat,Post,0.34167513570172564
404A_20210909,404A,20210909,09/09/2021,Soy,Under,0.38726153752586573
404B_20210909,404B,20210909,09/09/2021,Soy,Fallow,0.33094018655947777
404C_20210909,404C,20210909,09/09/2021,Soy,Post,0.3372367659749956
405A_20210909,405A,20210909,09/09/2021,Oat,Under,0.43067898531904025
405B_20210909,405B,20210909,09/09/2021,Oat,Fallow,0.33213384816027147
405C_20210909,405C,20210909,09/09/2021,Oat,Post,0.3451822888500999
406A_20210909,406A,20210909,09/09/2021,Oat,Under,0.39494340095987257
406B_20210909,406B,20210909,09/09/2021,Oat,Fallow,0.3510270891744047
406C_20210909,406C,20210909,09/09/2021,Oat,Post,0.3446002060340774
407A_20210909,407A,20210909,09/09/2021,Oat,Under,0.4085919003435659
407B_20210909,407B,20210909,09/09/2021,Oat,Fallow,0.34384447593372197
407C_20210909,407C,20210909,09/09/2021,Oat,Post,0.3442727310980377
408A_20210909,408A,20210909,09/09/2021,Oat,Under,0.3953115491821387
408B_20210909,408B,20210909,09/09/2021,Oat,Fallow,0.35051406905463056
408C_20210909,408C,20210909,09/09/2021,Oat,Post,0.34477325090992655
409A_20210909,409A,20210909,09/09/2021,Oat,Under,0.4093586061168457
409B_20210909,409B,20210909,09/09/2021,Oat,Fallow,0.34198676144134815
409C_20210909,409C,20210909,09/09/2021,Oat,Post,0.3397787473069149
410A_20210909,410A,20210909,09/09/2021,Oat,Under,0.3838126964517374
410B_20210909,410B,20210909,09/09/2021,Oat,Fallow,0.3398128532859643
410C_20210909,410C,20210909,09/09/2021,Oat,Post,0.3360254704815056
101A_20210929,101A,20210929,09/29/2021,Oat,Fallow,0.3353844352920494
101B_20210929,101B,20210929,09/29/2021,Oat,Post,0.3468976311869102
101C_20210929,101C,20210929,09/29/2021,Oat,Under,0.4094617914489563
102A_20210929,102A,20210929,09/29/2021,Oat,Fallow,0.3412510528510264
102B_20210929,102B,20210929,09/29/2021,Oat,Post,0.36037963235762177
102C_20210929,102C,20210929,09/29/2021,Oat,Under,0.4282914046741314
103A_20210929,103A,20210929,09/29/2021,Oat,Fallow,0.3365948675692655
103B_20210929,103B,20210929,09/29/2021,Oat,Post,0.35085766677675856
103C_20210929,103C,20210929,09/29/2021,Oat,Under,0.40485584199446534
104A_20210929,104A,20210929,09/29/2021,Oat,Fallow,0.34089534974576835
