Image,Plot,Date_Index,Date,Variety,Cover,Green_Avg,EXG_Avg_Image,EXGR_Avg_Image,GLI_Avg_Image,VARI_Avg_Image,EXG_Local_Thresh,EXGR_Local_Thresh,GLI_Local_Thresh,VARI_Local_Thresh,EXG_Global_Thresh,EXGR_Global_Thresh,GLI_Global_Thresh,VARI_Global_Thresh
105B_20210708,105B,20210708,7/8/2021,Oat,Post,0.360572795,0.081728031,-0.112786074,0.055695624,-0.054900245,0.119140625,-0.701953125,-0.26171875,-0.099609375,0.306640625,0.205078125,0.16015625,-0.08984375
105C_20210708,105C,20210708,7/8/2021,Oat,Under,0.355306654,0.065937444,-0.086587271,0.045895357,-0.008137543,0.587890625,-0.048046875,0.06640625,-0.076171875,0.306640625,0.205078125,0.16015625,-0.08984375
106A_20210708,106A,20210708,7/8/2021,Soy,Fallow,0.369274758,0.107839345,-0.016533574,0.072430653,0.024557853,0.212890625,0.120703125,0.13671875,-0.0546875,0.306640625,0.205078125,0.16015625,-0.08984375
106B_20210708,106B,20210708,7/8/2021,Soy,Post,0.389188092,0.167584167,0.071422441,0.112960733,0.073930591,0.236328125,0.162890625,0.15234375,0.01171875,0.306640625,0.205078125,0.16015625,-0.08984375
106C_20210708,106C,20210708,7/8/2021,Soy,Under,0.382034319,0.146110792,0.04452679,0.099118773,0.064028234,0.212890625,0.141796875,0.13671875,0.044921875,0.306640625,0.205078125,0.16015625,-0.08984375
107A_20210708,107A,20210708,7/8/2021,Oat,Fallow,0.348954316,0.046866565,-0.17398936,0.031917256,-0.09638329,-0.244140625,-0.744140625,-0.27734375,-0.2109375,0.306640625,0.205078125,0.16015625,-0.08984375
107B_20210708,107B,20210708,7/8/2021,Oat,Post,0.355084133,0.065254812,-0.145276989,0.045705871,-0.08054608,0.107421875,-0.659765625,-0.24609375,-0.150634766,0.306640625,0.205078125,0.16015625,-0.08984375
107C_20210708,107C,20210708,7/8/2021,Oat,Under,0.348862479,0.046597685,-0.181219099,0.030676632,-0.101001067,-0.279296875,-0.828515625,-0.30859375,-0.275390625,0.306640625,0.205078125,0.16015625,-0.08984375
108A_20210708,108A,20210708,7/8/2021,Oat,Fallow,0.341780068,0.025346233,-0.237573279,0.015177461,-0.142987196,-0.255859375,-0.765234375,-0.27734375,-0.255859375,0.306640625,0.205078125,0.16015625,-0.08984375
108B_20210708,108B,20210708,7/8/2021,Oat,Post,0.340081962,0.020251311,-0.255552602,0.010310415,-0.153210438,-0.267578125,-0.807421875,-0.28515625,-0.32421875,0.306640625,0.205078125,0.16015625,-0.08984375
108C_20210708,108C,20210708,7/8/2021,Oat,Under,0.341016057,0.023059021,-0.219748624,0.012659464,-0.122085803,-0.267578125,-0.807421875,-0.30078125,-0.283203125,0.306640625,0.205078125,0.16015625,-0.08984375
109A_20210708,109A,20210708,7/8/2021,Oat,Fallow,0.34906029,0.047193527,-0.183227174,0.029160992,-0.101005888,-0.267578125,-0.807421875,-0.30078125,-0.255859375,0.306640625,0.205078125,0.16015625,-0.08984375
109B_20210708,109B,20210708,7/8/2021,Oat,Post,0.349164782,0.047506403,-0.177181325,0.030359068,-0.096332057,-0.255859375,-0.765234375,-0.28515625,-0.19140625,0.306640625,0.205078125,0.16015625,-0.08984375
109C_20210708,109C,20210708,7/8/2021,Oat,Under,0.349606123,0.048843084,-0.169542915,0.029973628,-0.08640686,-0.267578125,-0.807421875,-0.30859375,-0.306640625,0.306640625,0.205078125,0.16015625,-0.08984375
110A_20210708,110A,20210708,7/8/2021,Oat,Fallow,0.333738294,0.001220307,-0.279813567,-0.003729842,-0.167252657,-0.291015625,-0.849609375,-0.30859375,-0.462890625,0.306640625,0.205078125,0.16015625,-0.08984375
110B_20210708,110B,20210708,7/8/2021,Oat,Post,0.339202552,0.017623932,-0.228082877,0.009476614,-0.130396947,-0.291015625,-0.828515625,-0.31640625,-0.251953125,0.306640625,0.205078125,0.16015625,-0.08984375
110C_20210708,110C,20210708,7/8/2021,Oat,Under,0.33579009,0.007384135,-0.253403038,0.00016834,-0.145485832,-0.302734375,-0.870703125,-0.32421875,-0.271484375,0.306640625,0.205078125,0.16015625,-0.08984375
201A_20210708,201A,20210708,7/8/2021,Oat,Under,0.347639019,0.042920675,-0.152733167,0.030366235,-0.075635176,0.072265625,-0.701953125,-0.29296875,-0.1328125,0.306640625,0.205078125,0.16015625,-0.08984375
201B_20210708,201B,20210708,7/8/2021,Oat,Fallow,0.345770526,0.037318812,-0.160510874,0.025261306,-0.075168426,-0.279296875,-0.786328125,-0.30859375,-0.17578125,0.306640625,0.205078125,0.16015625,-0.08984375
201C_20210708,201C,20210708,7/8/2021,Oat,Post,0.348451849,0.045356753,-0.143877707,0.03168353,-0.064822729,0.072265625,-0.744140625,-0.30078125,-0.173828125,0.306640625,0.205078125,0.16015625,-0.08984375
202A_20210708,202A,20210708,7/8/2021,Oat,Under,0.364975225,0.094929896,-0.086551568,0.067034161,-0.040931675,0.130859375,-0.069140625,0.08984375,-0.072265625,0.306640625,0.205078125,0.16015625,-0.08984375
202B_20210708,202B,20210708,7/8/2021,Oat,Fallow,0.35361603,0.060851706,-0.131858798,0.042331414,-0.0644182,0.095703125,-0.723046875,0.05859375,-0.104492188,0.306640625,0.205078125,0.16015625,-0.08984375
202C_20210708,202C,20210708,7/8/2021,Oat,Post,0.36468844,0.094071347,-0.07891421,0.065157886,-0.028706629,0.142578125,-0.638671875,0.08984375,-0.08203125,0.306640625,0.205078125,0.16015625,-0.08984375
203A_20210708,203A,20210708,7/8/2021,Soy,Under,0.40380577,0.211426954,0.10950014,0.141858495,0.069399945,0.271484375,0.183984375,0.16796875,0.068359375,0.306640625,0.205078125,0.16015625,-0.08984375
203B_20210708,203B,20210708,7/8/2021,Soy,Fallow,0.390681998,0.172066489,0.065059868,0.116017576,0.059691861,0.271484375,0.183984375,0.16796875,-0.025390625,0.306640625,0.205078125,0.16015625,-0.08984375
203C_20210708,203C,20210708,7/8/2021,Soy,Post,0.395364859,0.186104824,0.085714172,0.12518687,0.068254843,0.248046875,0.162890625,0.15234375,0.03515625,0.306640625,0.205078125,0.16015625,-0.08984375
204A_20210708,204A,20210708,7/8/2021,Oat,Under,0.351262947,0.053793665,-0.148687246,0.037462759,-0.077008247,0.083984375,-0.723046875,-0.28515625,-0.16015625,0.306640625,0.205078125,0.16015625,-0.08984375
204B_20210708,204B,20210708,7/8/2021,Oat,Fallow,0.34972904,0.049196763,-0.124637052,0.034235083,-0.045079791,0.083984375,-0.744140625,-0.30859375,-0.134765625,0.306640625,0.205078125,0.16015625,-0.08984375
204C_20210708,204C,20210708,7/8/2021,Oat,Post,0.353475627,0.060443759,-0.109187135,0.041112547,-0.032697617,0.107421875,-0.765234375,-0.30859375,-0.1640625,0.306640625,0.205078125,0.16015625,-0.08984375
205A_20210708,205A,20210708,7/8/2021,Oat,Under,0.347692156,0.043085509,-0.195756624,0.027483493,-0.111495927,-0.279296875,-0.828515625,-0.30859375,-0.314453125,0.306640625,0.205078125,0.16015625,-0.08984375
205B_20210708,205B,20210708,7/8/2021,Oat,Fallow,0.348983952,0.046965721,-0.183296373,0.030255941,-0.102767398,-0.279296875,-0.828515625,-0.30859375,-0.314453125,0.306640625,0.205078125,0.16015625,-0.08984375
205C_20210708,205C,20210708,7/8/2021,Oat,Post,0.349504206,0.048530098,-0.188725931,0.030319683,-0.106320431,-0.279296875,-0.849609375,-0.30859375,-0.3515625,0.306640625,0.205078125,0.16015625,-0.08984375
206A_20210708,206A,20210708,7/8/2021,Oat,Under,0.342778531,0.028348251,-0.180474797,0.018292585,-0.092383568,-0.279296875,-0.807421875,-0.31640625,-0.18359375,0.306640625,0.205078125,0.16015625,-0.08984375
206B_20210708,206B,20210708,7/8/2021,Oat,Fallow,0.356986513,0.070981239,-0.123356166,0.047203264,-0.060136881,0.142578125,-0.786328125,-0.30078125,-0.166015625,0.306640625,0.205078125,0.16015625,-0.08984375
206C_20210708,206C,20210708,7/8/2021,Oat,Post,0.347973247,0.043946866,-0.157572511,0.028117702,-0.074590656,-0.279296875,-0.828515625,-0.31640625,-0.23046875,0.306640625,0.205078125,0.16015625,-0.08984375
207A_20210708,207A,20210708,7/8/2021,Oat,Under,0.34759569,0.042790687,-0.166080742,0.029045586,-0.087633482,-0.267578125,-0.786328125,-0.30859375,-0.1484375,0.306640625,0.205078125,0.16015625,-0.08984375
207B_20210708,207B,20210708,7/8/2021,Oat,Fallow,0.357232009,0.071705068,-0.108814433,0.049277402,-0.043658472,0.119140625,-0.744140625,-0.29296875,-0.078125,0.306640625,0.205078125,0.16015625,-0.08984375
207C_20210708,207C,20210708,7/8/2021,Oat,Post,0.368676896,0.106045756,-0.069608494,0.07190719,-0.027946146,0.177734375,-0.680859375,0.10546875,-0.109375,0.306640625,0.205078125,0.16015625,-0.08984375
208A_20210708,208A,20210708,7/8/2021,Oat,Under,0.355826848,0.067502244,-0.156147303,0.043426088,-0.086215938,-0.255859375,-0.786328125,-0.29296875,-0.296875,0.306640625,0.205078125,0.16015625,-0.08984375
208B_20210708,208B,20210708,7/8/2021,Oat,Fallow,0.353835709,0.06152943,-0.138034561,0.040054483,-0.065194459,0.154296875,-0.744140625,-0.29296875,-0.259765625,0.306640625,0.205078125,0.16015625,-0.08984375
208C_20210708,208C,20210708,7/8/2021,Oat,Post,0.358087119,0.074303554,-0.104431244,0.048320567,-0.036487721,0.224609375,-0.744140625,-0.29296875,-0.115234375,0.306640625,0.205078125,0.16015625,-0.08984375
209A_20210708,209A,20210708,7/8/2021,Oat,Under,0.349224884,0.047687913,-0.195109341,0.029754684,-0.111680576,-0.255859375,-0.786328125,-0.29296875,-0.236328125,0.306640625,0.205078125,0.16015625,-0.08984375
209B_20210708,209B,20210708,7/8/2021,Oat,Fallow,0.352105739,0.056344342,-0.159827556,0.035585526,-0.082482098,-0.267578125,-0.807421875,-0.30859375,-0.26953125,0.306640625,0.205078125,0.16015625,-0.08984375
209C_20210708,209C,20210708,7/8/2021,Oat,Post,0.347569849,0.042720999,-0.198996588,0.026048382,-0.114117131,-0.255859375,-0.786328125,-0.29296875,-0.23828125,0.306640625,0.205078125,0.16015625,-0.08984375
210A_20210708,210A,20210708,7/8/2021,Oat,Under,0.352836114,0.058556564,-0.100355738,0.039905493,-0.020120725,0.646484375,0.943359375,0.05859375,-0.0703125,0.306640625,0.205078125,0.16015625,-0.08984375
210B_20210708,210B,20210708,7/8/2021,Oat,Fallow,0.370667235,0.112026419,-0.037730145,0.076182094,0.006299488,0.189453125,0.015234375,0.10546875,-0.017578125,0.306640625,0.205078125,0.16015625,-0.08984375
210C_20210708,210C,20210708,7/8/2021,Oat,Post,0.360276786,0.0808828,-0.033837841,0.055602867,0.059418858,0.740234375,1.048828125,0.08203125,0.0234375,0.306640625,0.205078125,0.16015625,-0.08984375
301A_20210708,301A,20210708,7/8/2021,Oat,Post,0.342534599,0.027612235,-0.218357685,0.016743633,-0.126677169,-0.279296875,-0.828515625,-0.30859375,-0.287109375,0.306640625,0.205078125,0.16015625,-0.08984375
301B_20210708,301B,20210708,7/8/2021,Oat,Fallow,0.341650829,0.02495972,-0.224689479,0.014510504,-0.130399761,-0.291015625,-0.849609375,-0.31640625,-0.33984375,0.306640625,0.205078125,0.16015625,-0.08984375
301C_20210708,301C,20210708,7/8/2021,Oat,Under,0.350256449,0.050773566,-0.183373386,0.03413315,-0.106774571,-0.244140625,-0.744140625,-0.27734375,-0.197265625,0.306640625,0.205078125,0.16015625,-0.08984375
302A_20210708,302A,20210708,7/8/2021,Oat,Post,0.349476947,0.048436868,-0.185602092,0.031384739,-0.107054162,-0.267578125,-0.807421875,-0.30859375,-0.171875,0.306640625,0.205078125,0.16015625,-0.08984375
302B_20210708,302B,20210708,7/8/2021,Oat,Fallow,0.351382804,0.054153235,-0.174052343,0.035396047,-0.098540978,-0.244140625,-0.744140625,-0.27734375,-0.240234375,0.306640625,0.205078125,0.16015625,-0.08984375
302C_20210708,302C,20210708,7/8/2021,Oat,Under,0.353312932,0.059946028,-0.160117577,0.040358766,-0.089390921,0.107421875,-0.723046875,-0.26953125,-0.16015625,0.306640625,0.205078125,0.16015625,-0.08984375
303A_20210708,303A,20210708,7/8/2021,Soy,Post,0.369941676,0.109862402,-0.040067721,0.071306068,-0.001237339,0.224609375,0.120703125,0.13671875,-0.0703125,0.306640625,0.205078125,0.16015625,-0.08984375
303B_20210708,303B,20210708,7/8/2021,Soy,Fallow,0.400652652,0.20199533,0.087913961,0.13303198,0.050915044,0.259765625,0.162890625,0.16015625,0.0390625,0.306640625,0.205078125,0.16015625,-0.08984375
303C_20210708,303C,20210708,7/8/2021,Soy,Under,0.395194712,0.185602221,0.094085982,0.124096585,0.084435742,0.248046875,0.162890625,0.15234375,-0.146484375,0.306640625,0.205078125,0.16015625,-0.08984375
304A_20210708,304A,20210708,7/8/2021,Oat,Post,0.349188587,0.047568172,-0.155967268,0.03295728,-0.079223901,-0.255859375,-0.744140625,-0.28515625,-0.140625,0.306640625,0.205078125,0.16015625,-0.08984375
304B_20210708,304B,20210708,7/8/2021,Oat,Fallow,0.348180482,0.04454446,-0.166597304,0.030582752,-0.08937029,-0.267578125,-0.765234375,-0.29296875,-0.193359375,0.306640625,0.205078125,0.16015625,-0.08984375
304C_20210708,304C,20210708,7/8/2021,Oat,Under,0.358268437,0.074806516,-0.150098377,0.052527982,-0.093242448,0.107421875,-0.659765625,-0.24609375,-0.140625,0.306640625,0.205078125,0.16015625,-0.08984375
305A_20210708,305A,20210708,7/8/2021,Oat,Post,0.356371827,0.069124524,-0.145149189,0.047523655,-0.080986541,-0.255859375,-0.765234375,-0.28515625,-0.205078125,0.306640625,0.205078125,0.16015625,-0.08984375
305B_20210708,305B,20210708,7/8/2021,Oat,Fallow,0.354223003,0.062671421,-0.145281598,0.042839394,-0.077443218,0.119140625,-0.701953125,-0.27734375,-0.166015625,0.306640625,0.205078125,0.16015625,-0.08984375
305C_20210708,305C,20210708,7/8/2021,Oat,Under,0.359080943,0.077250063,-0.118231805,0.052615382,-0.058019933,0.130859375,-0.701953125,-0.26171875,-0.115234375,0.306640625,0.205078125,0.16015625,-0.08984375
306A_20210708,306A,20210708,7/8/2021,Oat,Post,0.347471497,0.042418712,-0.145878004,0.029251452,-0.064401167,0.072265625,-0.744140625,-0.30078125,-0.12109375,0.306640625,0.205078125,0.16015625,-0.08984375
306B_20210708,306B,20210708,7/8/2021,Oat,Fallow,0.352462869,0.057395839,-0.119891386,0.039205718,-0.045256525,0.083984375,-0.765234375,-0.30078125,-0.111328125,0.306640625,0.205078125,0.16015625,-0.08984375
306C_20210708,306C,20210708,7/8/2021,Oat,Under,0.362831591,0.088498993,-0.104748311,0.061733027,-0.056808145,0.142578125,-0.069140625,0.08984375,-0.100585938,0.306640625,0.205078125,0.16015625,-0.08984375
307A_20210708,307A,20210708,7/8/2021,Oat,Post,0.355220618,0.065676924,-0.123868271,0.044287301,-0.055358831,0.119140625,-0.744140625,-0.29296875,-0.11328125,0.306640625,0.205078125,0.16015625,-0.08984375
307B_20210708,307B,20210708,7/8/2021,Oat,Fallow,0.348237111,0.044738459,-0.158156549,0.029166516,-0.074463589,-0.279296875,-0.828515625,-0.31640625,-0.255859375,0.306640625,0.205078125,0.16015625,-0.08984375
307C_20210708,307C,20210708,7/8/2021,Oat,Under,0.354921842,0.064772157,-0.128880987,0.043448636,-0.060840018,0.119140625,-0.744140625,-0.28515625,-0.21484375,0.306640625,0.205078125,0.16015625,-0.08984375
308A_20210708,308A,20210708,7/8/2021,Oat,Post,0.348135672,0.044420277,-0.19682454,0.028219221,-0.114163824,-0.267578125,-0.807421875,-0.30078125,-0.2734375,0.306640625,0.205078125,0.16015625,-0.08984375
308B_20210708,308B,20210708,7/8/2021,Oat,Fallow,0.345893127,0.03770952,-0.177713459,0.022844092,-0.087796472,-0.267578125,-0.786328125,-0.30078125,-0.26953125,0.306640625,0.205078125,0.16015625,-0.08984375
308C_20210708,308C,20210708,7/8/2021,Oat,Under,0.358853603,0.076589744,-0.129538908,0.050047664,-0.066614933,-0.267578125,-0.786328125,-0.30078125,-0.228515625,0.306640625,0.205078125,0.16015625,-0.08984375
309A_20210708,309A,20210708,7/8/2021,Oat,Post,0.357435074,0.072316675,-0.132954948,0.047465349,-0.067799689,0.130859375,-0.723046875,-0.26953125,-0.185546875,0.306640625,0.205078125,0.16015625,-0.08984375
309B_20210708,309B,20210708,7/8/2021,Oat,Fallow,0.346666761,0.040009929,-0.203550652,0.024311032,-0.116500292,-0.267578125,-0.807421875,-0.30078125,-0.271484375,0.306640625,0.205078125,0.16015625,-0.08984375
309C_20210708,309C,20210708,7/8/2021,Oat,Under,0.355875816,0.067637695,-0.162777079,0.043478795,-0.094184454,-0.244140625,-0.786328125,-0.28515625,-0.296875,0.306640625,0.205078125,0.16015625,-0.08984375
310A_20210708,310A,20210708,7/8/2021,Oat,Post,0.362854343,0.088587743,-0.095498295,0.058594752,-0.038350143,0.166015625,-0.701953125,-0.26171875,-0.193359375,0.306640625,0.205078125,0.16015625,-0.08984375
310B_20210708,310B,20210708,7/8/2021,Oat,Fallow,0.360511437,0.081552998,-0.118579757,0.054265385,-0.06050425,0.142578125,-0.680859375,-0.26171875,-0.1640625,0.306640625,0.205078125,0.16015625,-0.08984375
310C_20210708,310C,20210708,7/8/2021,Oat,Under,0.371395562,0.114214414,-0.05358963,0.076372939,-0.014374682,0.201171875,-0.638671875,0.11328125,-0.162109375,0.306640625,0.205078125,0.16015625,-0.08984375
401A_20210708,401A,20210708,7/8/2021,Oat,Under,0.349167717,0.047507369,-0.149465088,0.033196105,-0.074023841,0.072265625,-0.786328125,-0.30859375,-0.15625,0.306640625,0.205078125,0.16015625,-0.08984375
401B_20210708,401B,20210708,7/8/2021,Oat,Fallow,0.352132932,0.056407838,-0.141502457,0.038979201,-0.069849008,0.095703125,-0.744140625,-0.29296875,-0.2265625,0.306640625,0.205078125,0.16015625,-0.08984375
401C_20210708,401C,20210708,7/8/2021,Oat,Post,0.348538284,0.045620278,-0.148333199,0.031690856,-0.071170501,0.072265625,-0.701953125,-0.27734375,-0.13671875,0.306640625,0.205078125,0.16015625,-0.08984375
402A_20210708,402A,20210708,7/8/2021,Oat,Under,0.367155988,0.10147339,-0.090777708,0.069999308,-0.048332798,0.142578125,-0.680859375,0.08984375,-0.158203125,0.306640625,0.205078125,0.16015625,-0.08984375
402B_20210708,402B,20210708,7/8/2021,Oat,Fallow,0.373948451,0.121850777,-0.040077068,0.084423838,-0.007900086,0.177734375,-0.005859375,0.11328125,-0.017578125,0.306640625,0.205078125,0.16015625,-0.08984375
402C_20210708,402C,20210708,7/8/2021,Oat,Post,0.371155866,0.113473024,-0.036823637,0.079775399,0.00596986,0.142578125,-0.005859375,0.09765625,0.001953125,0.306640625,0.205078125,0.16015625,-0.08984375
403A_20210708,403A,20210708,7/8/2021,Oat,Under,0.347211034,0.041637923,-0.159612024,0.028209182,-0.079430444,-0.267578125,-0.786328125,-0.30859375,-0.228515625,0.306640625,0.205078125,0.16015625,-0.08984375
403B_20210708,403B,20210708,7/8/2021,Oat,Fallow,0.350468508,0.051419389,-0.127555837,0.03497025,-0.049440821,0.083984375,-0.786328125,-0.30859375,-0.236328125,0.306640625,0.205078125,0.16015625,-0.08984375
403C_20210708,403C,20210708,7/8/2021,Oat,Post,0.345269917,0.035817587,-0.156304907,0.024324043,-0.073529056,0.048828125,-0.744140625,-0.30078125,-0.119140625,0.306640625,0.205078125,0.16015625,-0.08984375
404A_20210708,404A,20210708,7/8/2021,Soy,Under,0.406248355,0.218757121,0.138350886,0.147958092,0.099269806,0.283203125,0.226171875,0.17578125,0.0390625,0.306640625,0.205078125,0.16015625,-0.08984375
404B_20210708,404B,20210708,7/8/2021,Soy,Fallow,0.374337446,0.1230473,-0.026149068,0.08150525,0.000388186,0.224609375,0.099609375,0.13671875,-0.150390625,0.306640625,0.205078125,0.16015625,-0.08984375
404C_20210708,404C,20210708,7/8/2021,Soy,Post,0.364078074,0.092270991,-0.058697222,0.060633799,-0.008684291,0.189453125,0.078515625,0.12109375,-0.05078125,0.306640625,0.205078125,0.16015625,-0.08984375
405A_20210708,405A,20210708,7/8/2021,Oat,Under,0.356553003,0.069683724,-0.122344936,0.045611008,-0.055942031,0.166015625,-0.744140625,-0.28515625,-0.197265625,0.306640625,0.205078125,0.16015625,-0.08984375
405B_20210708,405B,20210708,7/8/2021,Oat,Fallow,0.347552412,0.042686169,-0.171334126,0.026080746,-0.086235617,-0.291015625,-0.849609375,-0.31640625,-0.19921875,0.306640625,0.205078125,0.16015625,-0.08984375
405C_20210708,405C,20210708,7/8/2021,Oat,Post,0.336489709,0.009476964,-0.226207779,0.002310092,-0.121885377,-0.291015625,-0.849609375,-0.31640625,-0.33203125,0.306640625,0.205078125,0.16015625,-0.08984375
406A_20210708,406A,20210708,7/8/2021,Oat,Under,0.35663004,0.069929903,-0.093052491,0.04666147,-0.018200651,0.130859375,-0.786328125,-0.30859375,-0.150390625,0.306640625,0.205078125,0.16015625,-0.08984375
406B_20210708,406B,20210708,7/8/2021,Oat,Fallow,0.36495562,0.094901821,-0.072618049,0.064041618,-0.019327293,0.142578125,-0.786328125,-0.30859375,-0.052734375,0.306640625,0.205078125,0.16015625,-0.08984375
406C_20210708,406C,20210708,7/8/2021,Oat,Post,0.353463339,0.060417744,-0.138620666,0.03894902,-0.064481239,-0.267578125,-0.807421875,-0.30859375,-0.20703125,0.306640625,0.205078125,0.16015625,-0.08984375
407A_20210708,407A,20210708,7/8/2021,Oat,Under,0.348583345,0.045754857,-0.183124928,0.030055764,-0.101891205,-0.255859375,-0.765234375,-0.28515625,-0.1875,0.306640625,0.205078125,0.16015625,-0.08984375
407B_20210708,407B,20210708,7/8/2021,Oat,Fallow,0.347371171,0.04212979,-0.187004493,0.025879008,-0.100593023,-0.279296875,-0.849609375,-0.31640625,-0.2578125,0.306640625,0.205078125,0.16015625,-0.08984375
407C_20210708,407C,20210708,7/8/2021,Oat,Post,0.346619037,0.039870977,-0.188730352,0.024743101,-0.102520009,-0.279296875,-0.828515625,-0.30859375,-0.3359375,0.306640625,0.205078125,0.16015625,-0.08984375
408A_20210708,408A,20210708,7/8/2021,Oat,Under,0.345065113,0.035205585,-0.199278221,0.02154703,-0.112920842,-0.267578125,-0.786328125,-0.29296875,-0.279296875,0.306640625,0.205078125,0.16015625,-0.08984375
408B_20210708,408B,20210708,7/8/2021,Oat,Fallow,0.345513125,0.036575542,-0.180376081,0.02189376,-0.090111908,-0.291015625,-0.849609375,-0.32421875,-0.3125,0.306640625,0.205078125,0.16015625,-0.08984375
408C_20210708,408C,20210708,7/8/2021,Oat,Post,0.346478439,0.039450385,-0.18507824,0.024755599,-0.098967848,-0.267578125,-0.786328125,-0.30078125,-0.291015625,0.306640625,0.205078125,0.16015625,-0.08984375
409A_20210708,409A,20210708,7/8/2021,Oat,Under,0.345428089,0.036304159,-0.207319779,0.021227435,-0.115411776,-0.291015625,-0.849609375,-0.31640625,-0.2734375,0.306640625,0.205078125,0.16015625,-0.08984375
409B_20210708,409B,20210708,7/8/2021,Oat,Fallow,0.354771485,0.064340978,-0.135751005,0.041999225,-0.064924898,0.142578125,-0.744140625,-0.29296875,-0.1640625,0.306640625,0.205078125,0.16015625,-0.08984375
409C_20210708,409C,20210708,7/8/2021,Oat,Post,0.348925027,0.046797986,-0.18351556,0.028581212,-0.097768314,-0.279296875,-0.828515625,-0.31640625,-0.30859375,0.306640625,0.205078125,0.16015625,-0.08984375
410A_20210708,410A,20210708,7/8/2021,Oat,Under,0.364567635,0.093711343,-0.092985046,0.062304503,-0.041023996,0.166015625,-0.680859375,-0.25390625,-0.158203125,0.306640625,0.205078125,0.16015625,-0.08984375
410B_20210708,410B,20210708,7/8/2021,Oat,Fallow,0.374343164,0.123050589,-0.039117021,0.082480506,-0.006625096,0.201171875,-0.005859375,0.11328125,-0.0703125,0.306640625,0.205078125,0.16015625,-0.08984375
410C_20210708,410C,20210708,7/8/2021,Oat,Post,0.370177445,0.110558256,-0.06468353,0.073470699,-0.022193708,0.177734375,-0.723046875,-0.27734375,-0.173828125,0.306640625,0.205078125,0.16015625,-0.08984375
101A_20210821,101A,20210821,8/21/2021,Oat,Fallow,0.348885821,0.046686398,-0.109580453,0.029895164,-0.021067115,0.611328125,-0.807421875,-0.33984375,-0.119140625,0.306640625,0.205078125,0.16015625,-0.08984375
